,task_id,model_name,batch_size,iterate,card,start_time,end_time,node,color
0,1654664985,hf_GPT2,2,33,NVIDIAGeForceGTX1080,2022-06-08 13:56:54,2022-06-08 13:57:13,NVIDIAGeForceGTX1080_1,#A38C92
1,1654665093,hf_Bert,8,70,NVIDIATITANRTX,2022-06-08 13:16:52,2022-06-08 13:17:21,NVIDIATITANRTX_1,#DA3671
2,1654665047,drq,1,55,NVIDIAGeForceRTX2080Ti,2022-06-08 13:17:51,2022-06-08 13:18:14,NVIDIAGeForceRTX2080Ti_0,#C7AFC0
3,1654665037,densenet121,64,7398,NVIDIAGeForceRTX2080Ti,2022-06-08 14:57:58,2022-06-08 15:34:13,NVIDIAGeForceRTX2080Ti_1,#9FD947
4,1654665083,pytorch_unet,4,130,NVIDIATITANRTX,2022-06-08 13:41:20,2022-06-08 13:42:08,NVIDIATITANRTX_1,#18A653
5,1654665097,hf_GPT2,2,140,NVIDIATITANRTX,2022-06-08 13:16:47,2022-06-08 13:17:21,NVIDIATITANRTX_0,#A38C92
6,1654664991,vision_maskrcnn,2,30,NVIDIAGeForceGTX1080,2022-06-08 13:58:52,2022-06-08 13:59:13,NVIDIAGeForceGTX1080_1,#49FD84
7,1654665007,dcgan,1024,628,NVIDIAGeForceRTX2080Ti,2022-06-08 14:33:31,2022-06-08 14:55:31,NVIDIAGeForceRTX2080Ti_0,#A51B25
8,1654664983,timm_efficientnet,64,9504,NVIDIAGeForceGTX1080,2022-06-08 13:35:53,2022-06-08 14:27:40,NVIDIAGeForceGTX1080_0,#D597D0
9,1654665001,vgg16,32,205,NVIDIAGeForceGTX1080,2022-06-08 13:16:48,2022-06-08 13:18:15,NVIDIAGeForceGTX1080_1,#9FA8F6
10,1654665073,timm_vision_transformer,128,4133,NVIDIATITANRTX,2022-06-08 13:50:27,2022-06-08 14:19:21,NVIDIATITANRTX_2,#5CE328
11,1654665005,squeezenet1_1,256,2368,NVIDIAGeForceRTX2080Ti,2022-06-08 13:20:20,2022-06-08 14:20:16,NVIDIAGeForceRTX2080Ti_1,#3B5861
12,1654664999,hf_Bert,4,172,NVIDIAGeForceGTX1080,2022-06-08 13:21:21,2022-06-08 13:22:33,NVIDIAGeForceGTX1080_0,#DA3671
13,1654665095,drq,1,61,NVIDIATITANRTX,2022-06-08 13:18:10,2022-06-08 13:18:31,NVIDIATITANRTX_0,#C7AFC0
14,1654665017,resnext50_32x4d,64,1066,NVIDIAGeForceRTX2080Ti,2022-06-08 15:13:38,2022-06-08 15:19:27,NVIDIAGeForceRTX2080Ti_0,#94AB6F
15,1654665081,vision_maskrcnn,4,168,NVIDIATITANRTX,2022-06-08 13:38:22,2022-06-08 13:38:43,NVIDIATITANRTX_1,#49FD84
16,1654664995,dcgan,1024,590,NVIDIAGeForceGTX1080,2022-06-08 13:18:47,2022-06-08 13:56:22,NVIDIAGeForceGTX1080_1,#A51B25
17,1654665055,timm_efficientnet,128,4512,NVIDIATITANRTX,2022-06-08 13:42:55,2022-06-08 14:02:12,NVIDIATITANRTX_1,#D597D0
18,1654665021,drq,1,68,NVIDIAGeForceRTX2080Ti,2022-06-08 14:57:34,2022-06-08 14:57:56,NVIDIAGeForceRTX2080Ti_1,#C7AFC0
19,1654664979,mobilenet_v2,64,1014,NVIDIAGeForceGTX1080,2022-06-08 13:16:21,2022-06-08 13:20:35,NVIDIAGeForceGTX1080_0,#71495D
20,1654665029,resnet18,256,2294,NVIDIAGeForceRTX2080Ti,2022-06-08 14:56:04,2022-06-08 15:06:37,NVIDIAGeForceRTX2080Ti_0,#C28475
21,1654665041,yolov3,16,349,NVIDIAGeForceRTX2080Ti,2022-06-08 14:07:28,2022-06-08 14:09:30,NVIDIAGeForceRTX2080Ti_0,#12FF4C
