,jobid,card,slurmid,model_name,batch_size,iterate,E,start_time,end_time,estimated_time,node,color,
0,1654701524,NVIDIAGeForceRTX2080Ti,67109,mobilenet_v2,64,1014,P,6/8/2022 23:35,6/8/2022 23:37,6/8/2022 23:41,NVIDIAGeForceRTX2080Ti_2,#71495D,TRUE
1,1654701567,NVIDIAGeForceGTX1080,67111,shufflenet_v2_x1_0,256,2392,E,6/9/2022 0:53,6/9/2022 1:05,6/9/2022 1:06,NVIDIAGeForceGTX1080_1,#4B9485,TRUE
2,1654701591,NVIDIAGeForceGTX1080,67113,timm_efficientnet,64,9504,E,6/8/2022 23:30,6/9/2022 0:24,6/9/2022 16:00,NVIDIAGeForceGTX1080_0,#D597D0,TRUE
3,1654701624,NVIDIAGeForceGTX1080,67115,hf_GPT2,2,33,E,6/8/2022 23:34,6/8/2022 23:34,6/8/2022 23:46,NVIDIAGeForceGTX1080_2,#A38C92,TRUE
4,1654701659,NVIDIAGeForceGTX1080,67117,resnext50_32x4d,32,1912,E,6/8/2022 23:30,6/8/2022 23:43,6/8/2022 23:59,NVIDIAGeForceGTX1080_1,#94AB6F,TRUE
5,1654701685,NVIDIAGeForceGTX1080,67120,vision_maskrcnn,2,27,E,6/8/2022 23:29,6/8/2022 23:29,6/8/2022 23:46,NVIDIAGeForceGTX1080_0,#49FD84,TRUE
6,1654701718,NVIDIATITANRTX,67122,vision_maskrcnn,2,30,E,6/8/2022 23:37,6/8/2022 23:37,6/8/2022 23:41,NVIDIATITANRTX_1,#49FD84,TRUE
7,1654701746,NVIDIAGeForceRTX2080Ti,67123,squeezenet1_1,256,2971,E,6/9/2022 0:35,6/9/2022 1:37,6/9/2022 1:47,NVIDIAGeForceRTX2080Ti_2,#3B5861,TRUE
8,1654701794,NVIDIAGeForceGTX1080,67125,dcgan,1024,590,E,6/8/2022 23:42,6/9/2022 0:16,6/9/2022 1:59,NVIDIAGeForceGTX1080_3,#A51B25,TRUE
9,1654701849,NVIDIATITANRTX,67128,resnet50,64,9273,E,6/8/2022 23:38,6/9/2022 0:17,6/9/2022 2:09,NVIDIATITANRTX_1,#B5DAA7,TRUE
10,1654701894,NVIDIAGeForceRTX2080Ti,67130,hf_Bert,4,172,P,6/8/2022 23:29,6/8/2022 23:30,6/9/2022 1:45,NVIDIAGeForceRTX2080Ti_2,#DA3671,TRUE
11,1654701929,NVIDIATITANRTX,67132,vgg16,32,205,E,6/9/2022 0:17,6/9/2022 0:18,6/9/2022 1:32,NVIDIATITANRTX_1,#9FA8F6,TRUE
12,1654701955,NVIDIATITANRTX,67135,yolov3,16,338,E,6/9/2022 0:18,6/9/2022 0:20,6/9/2022 1:33,NVIDIATITANRTX_1,#12FF4C,TRUE
13,1654701993,NVIDIAGeForceRTX2080Ti,67137,squeezenet1_1,256,2368,P,6/8/2022 23:37,6/9/2022 0:26,6/9/2022 3:28,NVIDIAGeForceRTX2080Ti_2,#3B5861,TRUE
14,1654702036,NVIDIAGeForceRTX2080Ti,67140,dcgan,1024,628,E,6/8/2022 23:28,6/8/2022 23:50,6/9/2022 2:00,NVIDIAGeForceRTX2080Ti_0,#A51B25,TRUE
15,1654702090,NVIDIAGeForceRTX2080Ti,67142,timm_vision_transformer,128,5043,E,6/8/2022 23:29,6/9/2022 0:06,6/9/2022 2:18,NVIDIAGeForceRTX2080Ti_1,#5CE328,TRUE
16,1654702287,NVIDIAGeForceGTX1080,67152,drq,1,68,E,6/8/2022 23:33,6/8/2022 23:33,6/9/2022 1:43,NVIDIAGeForceGTX1080_2,#C7AFC0,TRUE
17,1654702170,NVIDIAGeForceGTX1080,67155,densenet121,64,243,E,6/9/2022 1:23,6/9/2022 1:24,6/9/2022 1:13,NVIDIAGeForceGTX1080_2,#9FD947,FALSE
18,1654702321,NVIDIAGeForceGTX1080,67157,timm_efficientnet,64,822,E,6/8/2022 23:34,6/8/2022 23:39,6/9/2022 1:45,NVIDIAGeForceGTX1080_2,#D597D0,TRUE
19,1654702436,NVIDIAGeForceGTX1080,67159,densenet121,64,911,E,6/9/2022 1:07,6/9/2022 1:15,6/9/2022 2:03,NVIDIAGeForceGTX1080_0,#9FD947,TRUE
20,1654702472,NVIDIAGeForceGTX1080,67161,drq,1,65,E,6/8/2022 23:35,6/8/2022 23:35,6/9/2022 1:42,NVIDIAGeForceGTX1080_3,#C7AFC0,TRUE
21,1654702499,NVIDIAGeForceGTX1080,67163,hf_Bert,8,64,E,6/9/2022 1:06,6/9/2022 1:07,6/9/2022 1:42,NVIDIAGeForceGTX1080_1,#DA3671,TRUE
22,1654702560,NVIDIAGeForceGTX1080,67166,hf_GPT2,4,64,E,6/8/2022 23:36,6/8/2022 23:37,6/9/2022 1:42,NVIDIAGeForceGTX1080_3,#A38C92,TRUE
23,1654702597,NVIDIAGeForceGTX1080,67169,yolov3,16,349,E,6/8/2022 23:37,6/8/2022 23:41,6/9/2022 1:43,NVIDIAGeForceGTX1080_3,#12FF4C,TRUE
24,1654702690,NVIDIAGeForceGTX1080,67173,drq,1,55,E,6/8/2022 23:39,6/8/2022 23:40,6/9/2022 1:42,NVIDIAGeForceGTX1080_2,#C7AFC0,TRUE
25,1654702261,NVIDIAGeForceGTX1080,67176,shufflenet_v2_x1_0,256,2117,E,6/8/2022 23:40,6/8/2022 23:51,6/9/2022 1:59,NVIDIAGeForceGTX1080_2,#4B9485,TRUE
26,1654702872,NVIDIAGeForceGTX1080,67180,pytorch_unet,4,144,E,6/9/2022 1:15,6/9/2022 1:17,6/9/2022 1:43,NVIDIAGeForceGTX1080_0,#18A653,TRUE
27,1654702200,NVIDIAGeForceGTX1080,67182,vgg16,64,869,E,6/9/2022 1:18,6/9/2022 1:24,6/9/2022 1:48,NVIDIAGeForceGTX1080_0,#9FA8F6,TRUE
28,1654702389,NVIDIAGeForceGTX1080,67184,shufflenet_v2_x1_0,256,2213,E,6/8/2022 23:43,6/8/2022 23:55,6/9/2022 2:06,NVIDIAGeForceGTX1080_1,#4B9485,TRUE
29,1654703030,NVIDIATITANRTX,67194,drq,1,64,E,6/9/2022 0:21,6/9/2022 0:21,6/9/2022 1:32,NVIDIATITANRTX_1,#C7AFC0,TRUE
30,1654703073,NVIDIAGeForceRTX2080Ti,67200,drq,1,64,E,6/8/2022 23:51,6/8/2022 23:51,6/9/2022 1:42,NVIDIAGeForceRTX2080Ti_0,#C7AFC0,TRUE
31,1654703466,NVIDIAGeForceRTX2080Ti,67203,drq,1,61,E,6/8/2022 23:52,6/8/2022 23:52,6/9/2022 1:45,NVIDIAGeForceRTX2080Ti_0,#C7AFC0,TRUE
