model,batch_size,start_time,end_time,duration
timm_vovnet,1,1653433892357303429,1653433893738820965,1381.453857421875
timm_vovnet,1,1653433894300660680,1653433895652119930,1351.440673828125
timm_vovnet,1,1653433896193476490,1653433897553544816,1360.0482177734375
timm_vovnet,1,1653433898095287609,1653433899449508951,1354.202392578125
timm_vovnet,2,1653433899994702585,1653433901396504876,1401.78369140625
timm_vovnet,2,1653433901934179902,1653433903324257381,1390.0594482421875
timm_vovnet,2,1653433903876465463,1653433905268909295,1392.425048828125
timm_vovnet,2,1653433905826866024,1653433907221642333,1394.75146484375
timm_vovnet,4,1653433907788900907,1653433909308304837,1519.3856201171875
timm_vovnet,4,1653433909867888188,1653433911393367977,1525.461181640625
timm_vovnet,4,1653433911955205694,1653433913481338258,1526.1142578125
timm_vovnet,4,1653433914047343406,1653433915575158439,1527.7939453125
timm_vovnet,8,1653433916209971921,1653433918731983215,2522.0029296875
timm_vovnet,8,1653433919346309666,1653433921869687789,2523.37353515625
timm_vovnet,8,1653433922500061017,1653433925031549604,2531.480224609375
timm_vovnet,8,1653433925683418913,1653433928215492740,2532.063232421875
timm_vovnet,16,1653433928911209603,1653433933069250180,4158.05322265625
timm_vovnet,16,1653433933779004613,1653433937943387403,4164.39306640625
timm_vovnet,16,1653433938643166406,1653433942811260899,4168.09326171875
timm_vovnet,16,1653433943515033294,1653433947684122805,4169.056640625
timm_vovnet,32,1653433948848393917,1653433956689875393,7841.50927734375
timm_vovnet,32,1653433957573396166,1653433965415931452,7842.56591796875
timm_vovnet,32,1653433966328387294,1653433974174400341,7846.0498046875
timm_vovnet,32,1653433975082152041,1653433982929600492,7847.48828125
timm_vovnet,64,1653433984193066468,1653434000092509069,15899.5546875
timm_vovnet,64,1653434001362916543,1653434017259719774,15896.9423828125
timm_vovnet,64,1653434018782258434,1653434034681670275,15899.548828125
timm_vovnet,64,1653434035956967147,1653434051857397138,15900.5703125
timm_vovnet,128,1653434054098238916,1653434085668219125,31570.287109375
timm_vovnet,128,1653434088140892988,1653434119727100234,31586.52734375
timm_vovnet,128,1653434121974482281,1653434153515103612,31540.927734375
timm_vovnet,128,1653434156033612865,1653434187596961268,31563.66015625
resnext50_32x4d,1,1653434189040342438,1653434191574051708,2533.69091796875
resnext50_32x4d,1,1653434192318975702,1653434194878826758,2559.837890625
resnext50_32x4d,1,1653434195593668135,1653434198199944545,2606.263916015625
resnext50_32x4d,1,1653434198888508757,1653434201417491073,2528.96875
resnext50_32x4d,2,1653434202125117857,1653434204942611647,2817.482666015625
resnext50_32x4d,2,1653434205646185754,1653434208446604296,2800.407470703125
resnext50_32x4d,2,1653434209159693699,1653434211975543539,2815.84033203125
resnext50_32x4d,2,1653434212678578612,1653434215473943808,2795.356201171875
resnext50_32x4d,4,1653434216434623829,1653434219455697322,3021.04443359375
resnext50_32x4d,4,1653434220177693287,1653434223163917901,2986.21533203125
resnext50_32x4d,4,1653434223924314270,1653434226953381515,3029.0419921875
resnext50_32x4d,4,1653434227680089413,1653434230669275528,2989.178955078125
resnext50_32x4d,8,1653434231427096149,1653434234957528823,3530.427001953125
resnext50_32x4d,8,1653434235722669656,1653434239253834676,3531.165283203125
resnext50_32x4d,8,1653434240026419687,1653434243555327055,3528.907470703125
resnext50_32x4d,8,1653434244311583289,1653434247842893440,3531.31103515625
resnext50_32x4d,16,1653434248722531449,1653434254656859641,5934.357421875
resnext50_32x4d,16,1653434255600783316,1653434261541109961,5940.35400390625
resnext50_32x4d,16,1653434262449085068,1653434268389250736,5940.1943359375
resnext50_32x4d,16,1653434269287434686,1653434275234048967,5946.64208984375
resnext50_32x4d,32,1653434276443867601,1653434287398174239,10954.39453125
