model,batch_size,start_time,end_time,duration
mobilenet_v3_large,1,1653527559637362232,1653527561979350429,2341.9697265625
mobilenet_v3_large,1,1653527562434530790,1653527564983176325,2548.631103515625
mobilenet_v3_large,1,1653527565367789111,1653527567867064892,2499.2724609375
mobilenet_v3_large,1,1653527568257964577,1653527570729052290,2471.058837890625
mobilenet_v3_large,2,1653527571131528288,1653527573567584648,2436.0498046875
mobilenet_v3_large,2,1653527573986712603,1653527576550219244,2563.498046875
mobilenet_v3_large,2,1653527576941697751,1653527579489139509,2547.4443359375
mobilenet_v3_large,2,1653527579881202059,1653527582603691949,2722.466064453125
mobilenet_v3_large,4,1653527583361116284,1653527585992485152,2631.3740234375
mobilenet_v3_large,4,1653527586390112776,1653527589012936241,2622.8173828125
mobilenet_v3_large,4,1653527589454213468,1653527592012447560,2558.236572265625
mobilenet_v3_large,4,1653527592563246323,1653527595091325861,2528.0830078125
mobilenet_v3_large,8,1653527595497558864,1653527597954320076,2456.750244140625
mobilenet_v3_large,8,1653527598363223995,1653527600978693303,2615.469970703125
mobilenet_v3_large,8,1653527601380520911,1653527603833269515,2452.742431640625
mobilenet_v3_large,8,1653527604241723015,1653527606832641652,2590.9228515625
mobilenet_v3_large,16,1653527607265658710,1653527609834567321,2568.906005859375
mobilenet_v3_large,16,1653527610297091017,1653527612850893717,2553.80615234375
mobilenet_v3_large,16,1653527613270999749,1653527615760400329,2489.40234375
mobilenet_v3_large,16,1653527616180977859,1653527618680590261,2499.613037109375
mobilenet_v3_large,32,1653527619144040872,1653527621809005226,2664.970947265625
mobilenet_v3_large,32,1653527622297056505,1653527624964213889,2667.162353515625
mobilenet_v3_large,32,1653527625440797298,1653527628111986151,2671.19189453125
mobilenet_v3_large,32,1653527628626912032,1653527631299208445,2672.30224609375
mobilenet_v3_large,64,1653527631937845071,1653527636713813499,4776.01904296875
mobilenet_v3_large,64,1653527637386389672,1653527642167379975,4781.044921875
mobilenet_v3_large,64,1653527642841808026,1653527647620653717,4778.8896484375
mobilenet_v3_large,64,1653527648491830913,1653527653273287180,4781.5126953125
mobilenet_v3_large,128,1653527654244180711,1653527663347131136,9103.1083984375
mobilenet_v3_large,128,1653527664364049606,1653527673480404387,9116.5166015625
mobilenet_v3_large,128,1653527674515341644,1653527683635109940,9119.91796875
mobilenet_v3_large,128,1653527684671415605,1653527693818678359,9147.4228515625
mobilenet_v3_large,256,1653527695477223493,1653527713543224581,18066.376953125
mobilenet_v3_large,256,1653527715481039830,1653527733727519997,18246.880859375
mobilenet_v3_large,256,1653527735455713348,1653527753872426569,18417.103515625
mobilenet_v3_large,256,1653527755602514564,1653527774093067051,18490.95703125
mobilenet_v3_large,512,1653527777457070779,1653527814376396870,36920.21875
mobilenet_v3_large,512,1653527817940582983,1653527855112268705,37164.046875
mobilenet_v3_large,512,1653527858818080978,1653527896072071638,37236.296875
mobilenet_v3_large,512,1653527899537341294,1653527936677085295,37122.1015625
resnet18,1,1653527939818476281,1653527940730871254,911.9189453125
resnet18,1,1653527941192258468,1653527942100932754,908.1873779296875
resnet18,1,1653527942463289298,1653527943372206106,908.4403076171875
resnet18,1,1653527943706175477,1653527944614958673,908.2943115234375
resnet18,2,1653527944954367915,1653527945868502917,913.6567993164062
resnet18,2,1653527946205653975,1653527947120785350,914.6568603515625
resnet18,2,1653527947459160094,1653527948374868493,915.2301635742188
resnet18,2,1653527948715250021,1653527949631174402,915.447998046875
resnet18,4,1653527949972157500,1653527950896274843,923.6317138671875
resnet18,4,1653527951237809369,1653527952161452608,923.1611938476562
resnet18,4,1653527952501491658,1653527953426473659,924.4989624023438
resnet18,4,1653527953774342712,1653527954700441772,925.6199340820312
resnet18,8,1653527955045354036,1653527955994632111,948.7875366210938
