model,batch_size,start_time,end_time,duration
vgg16,1,1653528164377049295,1653528166038023564,1660.9320068359375
vgg16,1,1653528167779022201,1653528169436908859,1657.8232421875
vgg16,1,1653528171155963520,1653528172813588244,1657.58154296875
vgg16,1,1653528174364063144,1653528176020952020,1656.849365234375
vgg16,2,1653528177664709077,1653528179671632900,2006.86279296875
vgg16,2,1653528181412241065,1653528183419397119,2007.119873046875
vgg16,2,1653528184875858172,1653528186883186118,2007.28369140625
vgg16,2,1653528188373025733,1653528190378460234,2005.3974609375
vgg16,4,1653528191909091686,1653528194515645863,2606.5224609375
vgg16,4,1653528196015709108,1653528198621304162,2605.556640625
vgg16,4,1653528200209125249,1653528202815264414,2606.1015625
vgg16,4,1653528204330759090,1653528206937374374,2606.582763671875
vgg16,8,1653528208766500538,1653528212681457874,3914.937255859375
vgg16,8,1653528214342484360,1653528218314129912,3971.587158203125
vgg16,8,1653528219976770435,1653528224023064700,4046.274658203125
vgg16,8,1653528225702725004,1653528229718131783,4015.375244140625
vgg16,16,1653528231349158556,1653528237451193580,6102.03857421875
vgg16,16,1653528239123686727,1653528245481048101,6357.3525390625
vgg16,16,1653528247340895265,1653528253417126375,6076.19189453125
vgg16,16,1653528255288000411,1653528261561015140,6273.0126953125
vgg16,32,1653528263548866385,1653528274611916645,11063.0234375
vgg16,32,1653528276666026200,1653528288162864120,11496.8720703125
vgg16,32,1653528290417648581,1653528301754452351,11336.8466796875
vgg16,32,1653528303763798854,1653528315081870436,11318.107421875
vgg16,64,1653528317593015931,1653528339411429917,21818.513671875
vgg16,64,1653528342264179352,1653528365010497985,22746.462890625
vgg16,64,1653528367554898586,1653528389792793488,22238.01953125
vgg16,64,1653528392267067783,1653528414972095761,22705.1875
vgg16,128,1653528419087635529,1653528463216286025,44128.9453125
vgg16,128,1653528466952371181,1653528509822365839,42870.16796875
vgg16,128,1653528513668207225,1653528556933751791,43265.83984375
vgg16,128,1653528560633767800,1653528604027242687,43393.71875
vgg16,256,1653528610611238278,1653528696755285053,86144.7421875
vgg16,256,1653528703246120892,1653528788428686449,85183.2265625
