-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         2.15%      47.383ms         3.62%      79.637ms      37.283us        1.040s        51.45%        1.040s     486.726us          2136  
    autograd::engine::evaluate_function: AddmmBackward0         0.18%       4.025ms         1.43%      31.412ms     163.604us       0.000us         0.00%     448.130ms       2.334ms           192  
                                         AddmmBackward0         0.11%       2.314ms         0.75%      16.532ms      86.104us       0.000us         0.00%     431.736ms       2.249ms           192  
                                           aten::linear         0.17%       3.852ms         2.49%      54.875ms      70.715us       0.000us         0.00%     420.560ms     541.959us           776  
                                 sgemm_128x128x8_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us     407.042ms        20.14%     407.042ms     524.539us           776  
       autograd::engine::evaluate_function: MmBackward0         0.34%       7.511ms         3.49%      76.844ms     131.582us       0.000us         0.00%     406.260ms     695.651us           584  
                                            MmBackward0         0.39%       8.506ms         3.15%      69.333ms     118.721us       0.000us         0.00%     406.260ms     695.651us           584  
                                 sgemm_128x128x8_NN_vec         0.00%       0.000us         0.00%       0.000us       0.000us     367.178ms        18.17%     367.178ms     478.096us           768  
                                           aten::matmul         0.41%       9.028ms         3.27%      71.962ms      82.525us       0.000us         0.00%     278.874ms     319.810us           872  
                                 sgemm_128x128x8_TN_vec         0.00%       0.000us         0.00%       0.000us       0.000us     228.515ms        11.31%     228.515ms       1.190ms           192  
                                            aten::addmm         0.33%       7.351ms         0.52%      11.360ms      59.167us     218.910ms        10.83%     218.910ms       1.140ms           192  
                                maxwell_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     190.746ms         9.44%     190.746ms     220.771us           864  
                               Optimizer.step#Adam.step         6.31%     138.920ms        21.72%     478.482ms      59.810ms       0.000us         0.00%     138.116ms      17.265ms             8  
                                              aten::bmm         0.83%      18.223ms         1.20%      26.400ms      30.556us     134.028ms         6.63%     134.028ms     155.125us           864  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     108.502ms         5.37%     108.502ms      28.918us          3752  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      89.603ms         4.43%      89.603ms      66.669us          1344  
      autograd::engine::evaluate_function: BmmBackward0         0.18%       3.984ms         1.27%      28.013ms      97.267us       0.000us         0.00%      87.160ms     302.639us           288  
                                           BmmBackward0         0.15%       3.216ms         1.09%      24.029ms      83.434us       0.000us         0.00%      87.160ms     302.639us           288  
                                            aten::copy_         1.12%      24.618ms         2.03%      44.794ms      14.892us      83.787ms         4.15%      83.787ms      27.855us          3008  
