-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.45%       7.763ms         9.27%     160.999ms     201.249us       0.000us         0.00%     967.930ms       1.210ms           800  
                                   ConvolutionBackward0         0.27%       4.689ms         8.82%     153.236ms     191.545us       0.000us         0.00%     967.930ms       1.210ms           800  
                             aten::convolution_backward         6.05%     105.034ms         8.55%     148.547ms     185.684us     967.930ms        57.18%     967.930ms       1.210ms           800  
void cudnn::detail::dgrad_engine<float, 128, 6, 7, 3...         0.00%       0.000us         0.00%       0.000us       0.000us     796.562ms        47.06%     796.562ms       2.489ms           320  
                                      aten::convolution         0.37%       6.458ms         5.16%      89.604ms     112.005us       0.000us         0.00%     497.799ms     622.249us           800  
                                     aten::_convolution         0.25%       4.370ms         4.79%      83.146ms     103.933us       0.000us         0.00%     497.799ms     622.249us           800  
                                 aten::conv_transpose2d         0.04%     669.000us         1.17%      20.316ms     101.580us       0.000us         0.00%     272.539ms       1.363ms           200  
                      aten::cudnn_convolution_transpose         0.74%      12.790ms         0.98%      17.049ms      85.245us     272.539ms        16.10%     272.539ms       1.363ms           200  
                                           aten::conv2d         0.10%       1.771ms         4.13%      71.728ms     119.547us       0.000us         0.00%     225.260ms     375.433us           600  
                                aten::cudnn_convolution         2.88%      50.020ms         3.55%      61.727ms     102.878us     225.260ms        13.31%     225.260ms     375.433us           600  
    maxwell_scudnn_128x128_stridedB_splitK_medium_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us     185.678ms        10.97%     185.678ms     386.829us           480  
void cudnn::detail::dgrad_engine<float, 512, 6, 5, 3...         0.00%       0.000us         0.00%       0.000us       0.000us     113.141ms         6.68%     113.141ms     471.421us           240  
                 maxwell_scudnn_128x64_relu_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     111.805ms         6.61%     111.805ms     399.304us           280  
                               Optimizer.step#Adam.step         3.30%      57.400ms        10.52%     182.708ms       2.284ms       0.000us         0.00%      90.452ms       1.131ms            80  
void explicit_convolve_sgemm<float, int, 128, 5, 5, ...         0.00%       0.000us         0.00%       0.000us       0.000us      80.472ms         4.75%      80.472ms     502.950us           160  
                 maxwell_scudnn_128x32_relu_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      73.251ms         4.33%      73.251ms     228.909us           320  
                                             aten::add_         2.51%      43.631ms         4.75%      82.539ms      15.752us      49.262ms         2.91%      49.262ms       9.401us          5240  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      39.442ms         2.33%      39.442ms      13.888us          2840  
