-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         1.09%       7.999ms        22.72%     166.933ms     208.666us       0.000us         0.00%     280.149ms     350.186us           800  
                                   ConvolutionBackward0         0.67%       4.908ms        21.63%     158.934ms     198.667us       0.000us         0.00%     280.149ms     350.186us           800  
                             aten::convolution_backward        14.60%     107.305ms        20.96%     154.026ms     192.532us     280.149ms        39.79%     280.149ms     350.186us           800  
                                      aten::convolution         0.85%       6.210ms        12.34%      90.648ms     113.310us       0.000us         0.00%     274.532ms     343.165us           800  
                                     aten::_convolution         0.56%       4.085ms        11.49%      84.438ms     105.547us       0.000us         0.00%     274.532ms     343.165us           800  
                                           aten::conv2d         0.23%       1.672ms         9.92%      72.905ms     121.508us       0.000us         0.00%     235.161ms     391.935us           600  
                                aten::cudnn_convolution         6.57%      48.257ms         8.64%      63.472ms     105.787us     235.161ms        33.40%     235.161ms     391.935us           600  
void implicit_convolve_sgemm<float, float, 1024, 5, ...         0.00%       0.000us         0.00%       0.000us       0.000us     192.298ms        27.31%     192.298ms     133.540us          1440  
void cudnn::detail::dgrad_engine<float, 128, 6, 7, 3...         0.00%       0.000us         0.00%       0.000us       0.000us     119.393ms        16.96%     119.393ms     373.103us           320  
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     101.047ms        14.35%     101.047ms     229.652us           440  
                               Optimizer.step#Adam.step         7.63%      56.093ms        24.66%     181.207ms       2.265ms       0.000us         0.00%      90.541ms       1.132ms            80  
      maxwell_scudnn_128x64_stridedB_splitK_large_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us      89.709ms        12.74%      89.709ms     186.894us           480  
                                             aten::add_         6.01%      44.176ms        11.39%      83.711ms      15.975us      48.542ms         6.89%      48.542ms       9.264us          5240  
                                 aten::conv_transpose2d         0.09%     655.000us         2.73%      20.070ms     100.350us       0.000us         0.00%      39.371ms     196.855us           200  
                      aten::cudnn_convolution_transpose         1.80%      13.193ms         2.30%      16.881ms      84.405us      39.371ms         5.59%      39.371ms     196.855us           200  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      38.730ms         5.50%      38.730ms      13.637us          2840  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      27.832ms         3.95%      27.832ms       9.277us          3000  
void cudnn::detail::dgrad_engine<float, 512, 6, 5, 3...         0.00%       0.000us         0.00%       0.000us       0.000us      25.844ms         3.67%      25.844ms      64.610us           400  
