-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.14%       2.024ms         2.94%      41.946ms     655.406us       0.000us         0.00%     305.031ms       4.766ms            64  
                                   ConvolutionBackward0         0.05%     715.000us         2.65%      37.757ms     589.953us       0.000us         0.00%     304.918ms       4.764ms            64  
                             aten::convolution_backward         1.45%      20.687ms         2.60%      37.042ms     578.781us     296.467ms        31.13%     304.918ms       4.764ms            64  
                                           aten::conv2d         0.05%     718.000us         2.63%      37.461ms     148.655us       0.000us         0.00%     192.685ms     764.623us           252  
                                      aten::convolution         0.11%       1.629ms         2.58%      36.743ms     145.806us       0.000us         0.00%     192.685ms     764.623us           252  
                                     aten::_convolution         0.18%       2.618ms         2.46%      35.114ms     139.341us       0.000us         0.00%     192.685ms     764.623us           252  
                                            aten::copy_         3.25%      46.372ms        29.02%     413.514ms      67.601us     192.241ms        20.18%     192.273ms      31.433us          6117  
                                aten::cudnn_convolution         1.54%      21.884ms         1.89%      26.922ms     106.833us     147.853ms        15.52%     147.853ms     586.718us           252  
                                               aten::to         0.22%       3.167ms        22.32%     318.066ms     187.982us       0.000us         0.00%     123.372ms      72.915us          1692  
                                         aten::_to_copy         0.25%       3.621ms        22.10%     314.899ms     290.229us       0.000us         0.00%     123.372ms     113.707us          1085  
maxwell_scudnn_winograd_128x128_ldg1_ldg4_mobile_rel...         0.00%       0.000us         0.00%       0.000us       0.000us     109.564ms        11.50%     109.564ms     579.704us           189  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     105.307ms        11.06%     105.307ms     662.308us           159  
                                              aten::pad         0.01%     202.000us         0.16%       2.264ms      35.375us       0.000us         0.00%      81.283ms       1.270ms            64  
void internal::region_transform_ABC_val<int, 32, 32,...         0.00%       0.000us         0.00%       0.000us       0.000us      64.422ms         6.76%      64.422ms     447.375us           144  
                                             aten::add_         0.98%      13.948ms         1.78%      25.305ms      14.419us      52.699ms         5.53%      52.699ms      30.028us          1755  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      52.540ms         5.52%      52.540ms      44.151us          1190  
                                maxwell_gcgemm_32x32_tn         0.00%       0.000us         0.00%       0.000us       0.000us      52.213ms         5.48%      52.213ms       1.088ms            48  
                                           aten::linear         0.07%       1.062ms         1.36%      19.337ms      53.714us       0.000us         0.00%      51.151ms     142.086us           360  
                                            aten::addmm         0.70%      10.017ms         1.11%      15.771ms      43.808us      51.151ms         5.37%      51.151ms     142.086us           360  
