-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         1.80%      40.700ms         2.96%      66.871ms      42.866us     862.762ms        36.42%     862.762ms     553.053us          1560  
    autograd::engine::evaluate_function: AddmmBackward0         0.79%      17.759ms         7.36%     166.429ms     216.704us       0.000us         0.00%     561.647ms     731.311us           768  
                                         AddmmBackward0         0.55%      12.427ms         4.33%      97.826ms     127.378us       0.000us         0.00%     536.285ms     698.288us           768  
                                           aten::linear         0.20%       4.625ms         2.16%      48.759ms      62.834us       0.000us         0.00%     402.649ms     518.878us           776  
                               Optimizer.step#Adam.step         6.12%     138.316ms        59.67%        1.349s     168.572ms       0.000us         0.00%     388.871ms      48.609ms             8  
                                 sgemm_128x128x8_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us     388.260ms        16.39%     388.260ms     500.335us           776  
                                            aten::addmm         0.95%      21.539ms         1.48%      33.528ms      43.656us     308.251ms        13.01%     308.251ms     401.368us           768  
                                 sgemm_128x128x8_NN_vec         0.00%       0.000us         0.00%       0.000us       0.000us     297.318ms        12.55%     297.318ms     387.133us           768  
       autograd::engine::evaluate_function: MmBackward0         0.01%     177.000us         0.07%       1.547ms     193.375us       0.000us         0.00%     232.079ms      29.010ms             8  
                                            MmBackward0         0.01%     165.000us         0.06%       1.370ms     171.250us       0.000us         0.00%     232.079ms      29.010ms             8  
                                              aten::bmm         0.78%      17.737ms         1.15%      26.039ms      30.138us     216.737ms         9.15%     216.737ms     250.853us           864  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     175.759ms         7.42%     175.759ms      35.723us          4920  
                                maxwell_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     163.941ms         6.92%     163.941ms     189.747us           864  
                                             aten::add_         3.31%      74.892ms        15.97%     360.959ms      43.552us     155.136ms         6.55%     155.136ms      18.718us          8288  
                                     sgemm_128x128x8_NN         0.00%       0.000us         0.00%       0.000us       0.000us     145.674ms         6.15%     145.674ms      18.209ms             8  
      autograd::engine::evaluate_function: BmmBackward0         0.22%       4.875ms         1.40%      31.627ms     109.816us       0.000us         0.00%     137.965ms     479.045us           288  
                                           BmmBackward0         0.16%       3.690ms         1.18%      26.752ms      92.889us       0.000us         0.00%     137.965ms     479.045us           288  
                                 sgemm_128x128x8_TN_vec         0.00%       0.000us         0.00%       0.000us       0.000us     134.155ms         5.66%     134.155ms     698.724us           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     125.429ms         5.29%     125.429ms      19.190us          6536  
