-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: AddmmBackward0         0.42%       7.570ms         3.99%      71.133ms     233.990us       0.000us         0.00%     694.970ms       2.286ms           304  
                                         AddmmBackward0         0.30%       5.414ms         2.36%      42.156ms     138.671us       0.000us         0.00%     669.873ms       2.204ms           304  
                                               aten::mm         0.93%      16.678ms         1.57%      27.938ms      45.951us     669.873ms        36.50%     669.873ms       1.102ms           608  
                                           aten::linear         0.11%       1.977ms         8.29%     148.058ms     487.033us       0.000us         0.00%     370.978ms       1.220ms           304  
                                            aten::addmm         0.51%       9.090ms         7.94%     141.776ms     466.368us     370.978ms        20.21%     370.978ms       1.220ms           304  
                                 sgemm_128x128x8_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us     351.840ms        19.17%     351.840ms       1.157ms           304  
                                 sgemm_128x128x8_NN_vec         0.00%       0.000us         0.00%       0.000us       0.000us     223.302ms        12.17%     223.302ms     754.399us           296  
                               Optimizer.step#Adam.step         3.31%      59.147ms        61.66%        1.101s     137.577ms       0.000us         0.00%     185.175ms      23.147ms             8  
                                              aten::bmm         0.37%       6.646ms         1.33%      23.801ms      82.642us     136.586ms         7.44%     136.586ms     474.257us           288  
                                     sgemm_128x128x8_NN         0.00%       0.000us         0.00%       0.000us       0.000us     136.400ms         7.43%     136.400ms      17.050ms             8  
                                 sgemm_128x128x8_TN_vec         0.00%       0.000us         0.00%       0.000us       0.000us     134.402ms         7.32%     134.402ms       1.400ms            96  
                                maxwell_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     106.224ms         5.79%     106.224ms     358.865us           296  
                                     sgemm_128x128x8_TN         0.00%       0.000us         0.00%       0.000us       0.000us     105.699ms         5.76%     105.699ms      13.212ms             8  
      autograd::engine::evaluate_function: BmmBackward0         0.09%       1.644ms         0.66%      11.818ms     123.104us       0.000us         0.00%      88.047ms     917.156us            96  
                                           BmmBackward0         0.07%       1.337ms         0.57%      10.174ms     105.979us       0.000us         0.00%      88.047ms     917.156us            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      86.995ms         4.74%      86.995ms      44.026us          1976  
                                      aten::masked_fill         0.05%     846.000us         0.97%      17.332ms     180.542us       0.000us         0.00%      81.055ms     844.323us            96  
                                             aten::add_         1.81%      32.292ms        13.52%     241.334ms      71.826us      73.967ms         4.03%      73.967ms      22.014us          3360  
                                            aten::clone         0.18%       3.228ms         2.77%      49.463ms     103.048us       0.000us         0.00%      65.437ms     136.327us           480  
