-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         1.78%      21.619ms         3.02%      36.721ms      46.365us     383.878ms        28.81%     383.878ms     484.694us           792  
                               Optimizer.step#Adam.step        10.09%     122.857ms        56.92%     692.877ms      86.610ms       0.000us         0.00%     340.970ms      42.621ms             8  
    autograd::engine::evaluate_function: AddmmBackward0         0.87%      10.619ms         6.41%      78.071ms     203.310us       0.000us         0.00%     260.098ms     677.339us           384  
                                         AddmmBackward0         0.47%       5.767ms         4.01%      48.799ms     127.081us       0.000us         0.00%     249.518ms     649.786us           384  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     158.776ms        11.91%     158.776ms      35.955us          4416  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     146.362ms        10.98%     146.362ms      47.893us          3056  
                                             aten::add_         4.71%      57.350ms        12.48%     151.914ms      32.076us     135.221ms        10.15%     135.221ms      28.552us          4736  
                                maxwell_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us     128.801ms         9.67%     128.801ms     268.335us           480  
                                maxwell_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     125.853ms         9.44%     125.853ms     321.054us           392  
                                            aten::addmm         1.46%      17.766ms         2.36%      28.727ms      74.810us     117.108ms         8.79%     117.108ms     304.969us           384  
                                 sgemm_128x128x8_TN_vec         0.00%       0.000us         0.00%       0.000us       0.000us      95.346ms         7.15%      95.346ms     331.062us           288  
                                 sgemm_128x128x8_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us      89.055ms         6.68%      89.055ms     856.298us           104  
       autograd::engine::evaluate_function: MmBackward0         0.02%     183.000us         0.14%       1.647ms     205.875us       0.000us         0.00%      86.630ms      10.829ms             8  
                                            MmBackward0         0.01%     151.000us         0.12%       1.464ms     183.000us       0.000us         0.00%      86.630ms      10.829ms             8  
                                              aten::bmm         1.15%      14.046ms         1.70%      20.709ms      35.953us      82.913ms         6.22%      82.913ms     143.946us           576  
                                              aten::mul         1.95%      23.771ms         3.13%      38.104ms      33.076us      81.284ms         6.10%      81.284ms      70.559us          1152  
                                           aten::matmul         0.23%       2.821ms         1.33%      16.142ms      80.710us       0.000us         0.00%      79.612ms     398.060us           200  
                                             aten::mul_         2.87%      34.991ms        10.44%     127.107ms      53.677us      68.524ms         5.14%      68.524ms      28.938us          2368  
                                         aten::addcdiv_         1.42%      17.289ms         7.09%      86.277ms      72.869us      67.881ms         5.09%      67.881ms      57.332us          1184  
