-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         1.26%      81.970ms        16.51%        1.071s     113.629us        2.048s        30.62%        2.048s     217.367us          9424  
    autograd::engine::evaluate_function: SliceBackward0         0.29%      18.985ms        18.44%        1.196s     593.373us       0.000us         0.00%        1.664s     825.416us          2016  
                                         SliceBackward0         0.10%       6.164ms        14.80%     959.778ms     476.080us       0.000us         0.00%        1.394s     691.243us          2016  
                                   aten::slice_backward         0.23%      14.832ms        14.70%     953.614ms     473.023us       0.000us         0.00%        1.394s     691.243us          2016  
                                               aten::mm         0.47%      30.346ms         3.33%     215.754ms     137.598us        1.373s        20.52%        1.373s     875.545us          1568  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us        1.046s        15.64%        1.046s     473.785us          2208  
    autograd::engine::evaluate_function: AddmmBackward0         0.07%       4.377ms         2.04%     132.300ms     636.058us       0.000us         0.00%     982.544ms       4.724ms           208  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     976.874ms        14.60%     976.874ms     181.171us          5392  
                                         AddmmBackward0         0.04%       2.890ms         1.31%      84.727ms     407.341us       0.000us         0.00%     949.986ms       4.567ms           208  
                                           aten::linear         0.05%       3.122ms         0.87%      56.350ms      95.186us       0.000us         0.00%     705.438ms       1.192ms           592  
                                            aten::fill_         0.43%      28.135ms        10.72%     695.579ms     192.788us     650.179ms         9.72%     650.179ms     180.205us          3608  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     650.170ms         9.72%     650.170ms     180.603us          3600  
                                 sgemm_128x128x8_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us     638.540ms         9.55%     638.540ms       1.079ms           592  
                                            aten::zero_         0.19%      12.007ms        10.75%     697.414ms     238.188us       0.000us         0.00%     587.777ms     200.744us          2928  
                                            aten::zeros         0.15%       9.747ms         8.48%     549.905ms     244.620us       0.000us         0.00%     536.655ms     238.726us          2248  
                                            aten::addmm         0.10%       6.533ms         0.16%      10.062ms      48.375us     518.598ms         7.75%     518.598ms       2.493ms           208  
                                            aten::clone         0.23%      14.976ms         4.55%     295.461ms      99.281us       0.000us         0.00%     512.240ms     172.124us          2976  
autograd::engine::evaluate_function: torch::autograd...         0.14%       9.222ms         9.62%     623.791ms     928.260us       0.000us         0.00%     499.040ms     742.619us           672  
                            torch::autograd::CopySlices         0.20%      12.936ms         9.47%     614.569ms     914.537us       0.000us         0.00%     499.040ms     742.619us           672  
