-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         3.70%      64.193ms         5.82%     101.144ms      43.447us     459.480ms        26.97%     459.480ms     197.371us          2328  
       autograd::engine::evaluate_function: MmBackward0         0.72%      12.547ms         6.29%     109.235ms     140.767us       0.000us         0.00%     308.330ms     397.332us           776  
                                            MmBackward0         0.64%      11.129ms         5.57%      96.688ms     124.598us       0.000us         0.00%     308.330ms     397.332us           776  
                                              aten::bmm         1.14%      19.753ms         1.68%      29.096ms      33.676us     264.325ms        15.52%     264.325ms     305.932us           864  
                                maxwell_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     247.023ms        14.50%     247.023ms     255.189us           968  
                                           aten::matmul         0.66%      11.539ms         4.14%      71.928ms      67.602us       0.000us         0.00%     246.532ms     231.703us          1064  
                                             aten::add_         3.26%      56.663ms         6.70%     116.419ms      26.800us     218.005ms        12.80%     218.005ms      50.185us          4344  
      autograd::engine::evaluate_function: BmmBackward0         0.26%       4.532ms         1.70%      29.602ms     102.785us       0.000us         0.00%     168.943ms     586.608us           288  
                                           BmmBackward0         0.20%       3.458ms         1.44%      25.070ms      87.049us       0.000us         0.00%     168.943ms     586.608us           288  
                                maxwell_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us     152.884ms         8.97%     152.884ms     159.254us           960  
                                           aten::linear         0.19%       3.268ms         3.42%      59.425ms      76.579us       0.000us         0.00%     151.150ms     194.781us           776  
                               Optimizer.step#Adam.step         6.53%     113.327ms        22.16%     384.803ms      48.100ms       0.000us         0.00%     148.491ms      18.561ms             8  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     143.816ms         8.44%     143.816ms       1.198ms           120  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     139.750ms         8.20%     139.750ms      42.921us          3256  
autograd::engine::evaluate_function: EmbeddingBackwa...         0.03%     510.000us        29.21%     507.303ms      15.853ms       0.000us         0.00%     136.061ms       4.252ms            32  
                                maxwell_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     125.027ms         7.34%     125.027ms     144.707us           864  
                                     EmbeddingBackward0         0.01%     159.000us        29.17%     506.453ms      15.827ms       0.000us         0.00%     122.996ms       3.844ms            32  
                               aten::embedding_backward         0.00%      72.000us        29.16%     506.294ms      15.822ms       0.000us         0.00%     122.996ms       3.844ms            32  
                         aten::embedding_dense_backward         0.18%       3.211ms        29.15%     506.222ms      15.819ms     113.456ms         6.66%     122.996ms       3.844ms            32  
