-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::conv2d         0.40%      32.015ms        26.17%        2.076s     184.264us       0.000us         0.00%     497.710ms      44.186us         11264  
                                      aten::convolution         1.17%      93.109ms        25.76%        2.044s     181.422us       0.000us         0.00%     497.710ms      44.186us         11264  
                                     aten::_convolution         1.57%     124.499ms        24.59%        1.950s     173.156us       0.000us         0.00%     497.710ms      44.186us         11264  
autograd::engine::evaluate_function: ConvolutionBack...         0.92%      72.830ms        23.42%        1.858s     302.395us       0.000us         0.00%     478.989ms      77.960us          6144  
                                   ConvolutionBackward0         0.43%      33.791ms        22.50%        1.785s     290.541us       0.000us         0.00%     478.989ms      77.960us          6144  
                             aten::convolution_backward        15.05%        1.194s        22.08%        1.751s     285.042us     432.874ms        31.04%     478.989ms      77.960us          6144  
                                aten::cudnn_convolution        16.57%        1.314s        19.73%        1.565s     138.935us     428.650ms        30.73%     428.650ms      38.055us         11264  
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     226.694ms        16.25%     226.694ms      32.797us          6912  
void cudnn::detail::dgrad2d_alg1_1<float, 0, 4, 6, 3...         0.00%       0.000us         0.00%       0.000us       0.000us     160.185ms        11.49%     160.185ms      52.144us          3072  
                                       aten::batch_norm         0.34%      26.729ms        10.80%     856.294ms      76.020us       0.000us         0.00%     121.842ms      10.817us         11264  
                           aten::_batch_norm_impl_index         0.43%      34.366ms        10.46%     829.565ms      73.647us       0.000us         0.00%     121.842ms      10.817us         11264  
                                 aten::cudnn_batch_norm         4.83%     383.247ms        10.02%     795.199ms      70.597us     121.842ms         8.74%     121.842ms      10.817us         11264  
                 maxwell_scudnn_128x32_relu_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     114.690ms         8.22%     114.690ms      74.668us          1536  
     maxwell_scudnn_128x32_stridedB_splitK_medium_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us     111.374ms         7.99%     111.374ms      36.255us          3072  
                                             aten::add_         2.07%     164.566ms         3.29%     260.587ms      19.552us      72.504ms         5.20%      72.504ms       5.440us         13328  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      69.060ms         4.95%      69.060ms       6.131us         11264  
                                              aten::sum         2.66%     211.245ms         4.25%     337.421ms      36.613us      63.637ms         4.56%      68.007ms       7.379us          9216  
void cudnn::bn_fw_tr_1C11_singleread<float, 512, tru...         0.00%       0.000us         0.00%       0.000us       0.000us      65.464ms         4.69%      65.464ms       6.729us          9728  
