-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.28%      58.541ms        30.02%        6.355s       1.655ms       0.000us         0.00%        1.104s     287.585us          3840  
                        CudnnBatchNormBackwardBackward0         3.50%     740.716ms        29.47%        6.239s       1.625ms       0.000us         0.00%        1.100s     286.574us          3840  
autograd::engine::evaluate_function: ConvolutionBack...         0.59%     124.784ms        11.13%        2.357s     278.976us       0.000us         0.00%     684.001ms      80.966us          8448  
                                   ConvolutionBackward0         0.22%      45.932ms         9.80%        2.076s     245.689us       0.000us         0.00%     670.193ms      79.332us          8448  
                             aten::convolution_backward         6.13%        1.299s         9.59%        2.030s     240.252us     558.400ms        16.83%     670.193ms      79.332us          8448  
                                      aten::convolution         0.64%     136.156ms        15.89%        3.363s     193.181us       0.000us         0.00%     541.520ms      31.108us         17408  
                                     aten::_convolution         1.02%     216.062ms        15.24%        3.227s     185.359us       0.000us         0.00%     541.520ms      31.108us         17408  
                                              aten::sum         7.89%        1.670s        11.64%        2.464s      17.529us     536.589ms        16.17%     536.589ms       3.818us        140544  
                                              aten::mul         8.92%        1.889s        13.84%        2.929s      17.204us     472.413ms        14.24%     472.413ms       2.775us        170240  
                                aten::cudnn_convolution         9.30%        1.968s        11.12%        2.353s     173.444us     388.107ms        11.70%     388.107ms      28.605us         13568  
autograd::engine::evaluate_function: ConvolutionBack...         0.26%      55.789ms        10.18%        2.154s     560.993us       0.000us         0.00%     362.560ms      94.417us          3840  
                           ConvolutionBackwardBackward0         0.11%      24.067ms         9.60%        2.033s     529.362us       0.000us         0.00%     354.590ms      92.341us          3840  
                     aten::_convolution_double_backward         0.48%     101.780ms         9.49%        2.009s     523.094us       0.000us         0.00%     354.590ms      92.341us          3840  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     353.000ms        10.64%     353.000ms       3.591us         98304  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     254.419ms         7.67%     254.419ms       3.822us         66560  
                                           aten::conv2d         0.14%      29.907ms         8.30%        1.758s     381.529us       0.000us         0.00%     215.574ms      46.783us          4608  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.40%      85.181ms         2.44%     516.437ms      61.131us       0.000us         0.00%     203.235ms      24.057us          8448  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     198.357ms         5.98%     198.357ms       1.990us         99696  
