-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         1.08%       9.435ms        13.49%     117.415ms     282.248us       0.000us         0.00%      32.118ms      77.207us           416  
                                   ConvolutionBackward0         0.47%       4.062ms        12.03%     104.663ms     251.594us       0.000us         0.00%      31.946ms      76.793us           416  
                             aten::convolution_backward         7.43%      64.611ms        11.56%     100.601ms     241.829us      31.946ms        36.88%      31.946ms      76.793us           416  
                               Optimizer.step#Adam.step        14.79%     128.712ms        49.61%     431.606ms      53.951ms       0.000us         0.00%      17.869ms       2.234ms             8  
                                           aten::conv2d         0.21%       1.809ms         5.82%      50.595ms     121.623us       0.000us         0.00%       9.733ms      23.397us           416  
                                      aten::convolution         0.61%       5.334ms         5.61%      48.786ms     117.274us       0.000us         0.00%       9.733ms      23.397us           416  
                                     aten::_convolution         0.43%       3.744ms         4.99%      43.452ms     104.452us       0.000us         0.00%       9.733ms      23.397us           416  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.98%       8.548ms         6.62%      57.639ms     138.555us       0.000us         0.00%       8.463ms      20.344us           416  
                                CudnnBatchNormBackward0         0.35%       3.088ms         5.64%      49.091ms     118.007us       0.000us         0.00%       8.463ms      20.344us           416  
                        aten::cudnn_batch_norm_backward         2.54%      22.111ms         5.29%      46.003ms     110.584us       8.463ms         9.77%       8.463ms      20.344us           416  
                                       aten::batch_norm         0.14%       1.206ms         5.57%      48.430ms     116.418us       0.000us         0.00%       7.803ms      18.757us           416  
                           aten::_batch_norm_impl_index         0.21%       1.788ms         5.43%      47.224ms     113.519us       0.000us         0.00%       7.803ms      18.757us           416  
                                 aten::cudnn_batch_norm         2.43%      21.163ms         5.22%      45.436ms     109.221us       7.803ms         9.01%       7.803ms      18.757us           416  
void cudnn::bn_bw_1C11_singleread<float, 512, true, ...         0.00%       0.000us         0.00%       0.000us       0.000us       7.421ms         8.57%       7.421ms      19.326us           384  
void cudnn::bn_fw_tr_1C11_singleread<float, 512, tru...         0.00%       0.000us         0.00%       0.000us       0.000us       7.135ms         8.24%       7.135ms      18.581us           384  
                                aten::cudnn_convolution         3.09%      26.857ms         3.91%      34.021ms     121.504us       7.110ms         8.21%       7.110ms      25.393us           280  
                                             aten::add_         8.70%      75.718ms        16.42%     142.899ms      26.115us       7.049ms         8.14%       7.049ms       1.288us          5472  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us       6.502ms         7.51%       6.502ms      33.865us           192  
