-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         1.09%      10.754ms        16.40%     161.893ms     326.397us       0.000us         0.00%     363.958ms     733.786us           496  
                                   ConvolutionBackward0         0.45%       4.457ms        15.00%     148.055ms     298.498us       0.000us         0.00%     358.702ms     723.190us           496  
                             aten::convolution_backward         9.55%      94.280ms        14.55%     143.598ms     289.512us     357.895ms        45.78%     358.702ms     723.190us           496  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.77%       7.608ms         4.92%      48.608ms     132.087us       0.000us         0.00%      96.625ms     262.568us           368  
                                CudnnBatchNormBackward0         0.26%       2.612ms         4.15%      41.000ms     111.413us       0.000us         0.00%      96.625ms     262.568us           368  
                        aten::cudnn_batch_norm_backward         1.86%      18.403ms         3.89%      38.388ms     104.315us      96.625ms        12.36%      96.625ms     262.568us           368  
                                           aten::conv2d         0.21%       2.108ms         7.78%      76.822ms     154.883us       0.000us         0.00%      91.739ms     184.958us           496  
                                      aten::convolution         0.60%       5.874ms         7.57%      74.714ms     150.633us       0.000us         0.00%      91.739ms     184.958us           496  
                                     aten::_convolution         0.52%       5.126ms         6.97%      68.840ms     138.790us       0.000us         0.00%      91.739ms     184.958us           496  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      83.438ms        10.67%      83.438ms     695.317us           120  
                                       aten::batch_norm         0.11%       1.127ms         4.10%      40.513ms     110.090us       0.000us         0.00%      58.830ms     159.864us           368  
                           aten::_batch_norm_impl_index         0.16%       1.574ms         3.99%      39.386ms     107.027us       0.000us         0.00%      58.830ms     159.864us           368  
                                 aten::cudnn_batch_norm         1.87%      18.477ms         3.83%      37.812ms     102.750us      58.830ms         7.52%      58.830ms     159.864us           368  
                                aten::_conv_depthwise2d         0.17%       1.679ms         0.50%       4.907ms      40.892us      51.493ms         6.59%      51.493ms     429.108us           120  
                                aten::cudnn_convolution         4.50%      44.457ms         5.55%      54.793ms     145.726us      39.924ms         5.11%      39.924ms     106.181us           376  
void wgrad_alg0_engine<float, 128, 5, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      38.853ms         4.97%      38.853ms     693.804us            56  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      37.783ms         4.83%      37.783ms     472.288us            80  
void cudnn::bn_bw_1C11_kernel_new<float, float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      36.203ms         4.63%      36.203ms       1.131ms            32  
