-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         0.66%      22.968ms        23.06%     802.274ms     348.209us        1.801s        50.97%        1.801s     781.878us          2304  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        1.801s        50.97%        1.801s     781.878us          2304  
                                Optimizer.step#SGD.step         0.43%      15.046ms        29.25%        1.017s      15.896ms       0.000us         0.00%        1.607s      25.104ms            64  
autograd::engine::evaluate_function: torch::autograd...         0.20%       6.990ms         8.73%     303.666ms     395.398us       0.000us         0.00%     600.612ms     782.047us           768  
                        torch::autograd::AccumulateGrad         0.18%       6.178ms         8.53%     296.676ms     386.297us       0.000us         0.00%     600.612ms     782.047us           768  
    autograd::engine::evaluate_function: AddmmBackward0         0.29%      10.050ms        20.89%     726.717ms       1.892ms       0.000us         0.00%     568.650ms       1.481ms           384  
                                         AddmmBackward0         0.19%       6.554ms        12.92%     449.369ms       1.170ms       0.000us         0.00%     558.108ms       1.453ms           384  
                                               aten::mm         0.51%      17.600ms        12.40%     431.427ms     612.822us     558.108ms        15.79%     558.108ms     792.767us           704  
                                           aten::linear         0.04%       1.446ms         9.08%     315.867ms     822.570us       0.000us         0.00%     418.300ms       1.089ms           384  
                                            aten::addmm         0.33%      11.597ms         8.94%     310.951ms     809.768us     418.300ms        11.83%     418.300ms       1.089ms           384  
                                             aten::mul_         0.18%       6.209ms        14.10%     490.413ms     638.559us     405.834ms        11.48%     405.834ms     528.430us           768  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     405.834ms        11.48%     405.834ms     528.430us           768  
                                      sgemm_32x32x32_NN         0.00%       0.000us         0.00%       0.000us       0.000us     306.956ms         8.68%     306.956ms       4.796ms            64  
                                      sgemm_32x32x32_NT         0.00%       0.000us         0.00%       0.000us       0.000us     273.349ms         7.73%     273.349ms       4.271ms            64  
                                     sgemm_128x128x8_TN         0.00%       0.000us         0.00%       0.000us       0.000us     243.200ms         6.88%     243.200ms       1.900ms           128  
                                            aten::fill_         0.15%       5.057ms         4.13%     143.588ms     160.254us     191.492ms         5.42%     191.492ms     213.719us           896  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     191.492ms         5.42%     191.492ms     213.719us           896  
                                            aten::zero_         0.13%       4.427ms         4.23%     147.119ms     153.249us       0.000us         0.00%     191.364ms     199.338us           960  
                      Optimizer.zero_grad#SGD.zero_grad         0.12%       4.029ms         4.26%     148.330ms       2.318ms       0.000us         0.00%     185.727ms       2.902ms            64  
