-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.07%       3.525ms         3.24%     155.522ms       1.023ms       0.000us         0.00%        2.598s      17.092ms           152  
                                   ConvolutionBackward0         0.03%       1.529ms         3.17%     151.997ms     999.980us       0.000us         0.00%        2.598s      17.092ms           152  
                             aten::convolution_backward         2.37%     113.655ms         3.14%     150.468ms     989.921us        2.578s        54.17%        2.598s      17.092ms           152  
                                           aten::conv2d         0.03%       1.675ms         1.77%      84.778ms     278.875us       0.000us         0.00%        1.934s       6.363ms           304  
                                      aten::convolution         0.03%       1.270ms         0.75%      35.818ms     235.645us       0.000us         0.00%     964.493ms       6.345ms           152  
                                     aten::_convolution         0.03%       1.650ms         0.72%      34.548ms     227.289us       0.000us         0.00%     964.493ms       6.345ms           152  
                                aten::cudnn_convolution         0.53%      25.425ms         0.61%      29.309ms     192.822us     910.424ms        19.13%     910.424ms       5.990ms           152  
maxwell_fp16_scudnn_fp16_128x64_stridedB_small_nn_v0...         0.00%       0.000us         0.00%       0.000us       0.000us     874.411ms        18.38%     874.411ms       6.831ms           128  
autograd::engine::evaluate_function: UpsampleBilinea...         0.01%     395.000us         0.07%       3.153ms      98.531us       0.000us         0.00%     625.742ms      19.554ms            32  
                            UpsampleBilinear2DBackward1         0.00%     197.000us         0.06%       2.758ms      86.188us       0.000us         0.00%     625.742ms      19.554ms            32  
                     aten::upsample_bilinear2d_backward         0.02%       1.096ms         0.05%       2.561ms      80.031us     624.594ms        13.13%     625.742ms      19.554ms            32  
void at::native::(anonymous namespace)::upsample_bil...         0.00%       0.000us         0.00%       0.000us       0.000us     624.594ms        13.13%     624.594ms      19.519ms            32  
void cudnn::cnn::wgrad_alg1_engine<__half, float, 12...         0.00%       0.000us         0.00%       0.000us       0.000us     564.832ms        11.87%     564.832ms      35.302ms            16  
maxwell_fp16_scudnn_fp16_128x64_stridedB_splitK_larg...         0.00%       0.000us         0.00%       0.000us       0.000us     375.094ms         7.88%     375.094ms       6.698ms            56  
void cudnn::cnn::wgrad_alg1_engine<__half, float, 12...         0.00%       0.000us         0.00%       0.000us       0.000us     356.286ms         7.49%     356.286ms      11.134ms            32  
      maxwell_fp16_scudnn_fp16_128x64_relu_medium_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us     328.101ms         6.89%     328.101ms       5.127ms            64  
maxwell_fp16_scudnn_fp16_128x64_stridedB_splitK_medi...         0.00%       0.000us         0.00%       0.000us       0.000us     321.149ms         6.75%     321.149ms       8.029ms            40  
