-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         1.02%      10.492ms        17.14%     176.536ms     416.358us       0.000us         0.00%     188.381ms     444.295us           424  
                                   ConvolutionBackward0         0.43%       4.450ms        15.55%     160.207ms     377.847us       0.000us         0.00%     180.116ms     424.802us           424  
                             aten::convolution_backward        10.63%     109.503ms        15.12%     155.757ms     367.351us     180.116ms        43.43%     180.116ms     424.802us           424  
                               Optimizer.step#Adam.step        14.38%     148.091ms        47.36%     487.735ms      60.967ms       0.000us         0.00%      69.575ms       8.697ms             8  
                                           aten::conv2d         0.18%       1.900ms         7.59%      78.199ms     184.432us       0.000us         0.00%      58.207ms     137.281us           424  
                                      aten::convolution         0.51%       5.253ms         7.41%      76.299ms     179.950us       0.000us         0.00%      58.207ms     137.281us           424  
                                     aten::_convolution         0.34%       3.476ms         6.90%      71.046ms     167.561us       0.000us         0.00%      58.207ms     137.281us           424  
                                aten::cudnn_convolution         5.25%      54.059ms         6.56%      67.570ms     159.363us      58.207ms        14.04%      58.207ms     137.281us           424  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      39.631ms         9.56%      39.631ms     225.176us           176  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      37.658ms         9.08%      37.658ms      13.297us          2832  
                                             aten::add_         8.54%      88.005ms        16.09%     165.690ms      29.048us      36.875ms         8.89%      36.875ms       6.465us          5704  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.91%       9.389ms         6.04%      62.204ms     146.708us       0.000us         0.00%      25.614ms      60.410us           424  
                                CudnnBatchNormBackward0         0.34%       3.464ms         5.13%      52.815ms     124.564us       0.000us         0.00%      25.614ms      60.410us           424  
                        aten::cudnn_batch_norm_backward         2.30%      23.642ms         4.79%      49.351ms     116.394us      25.614ms         6.18%      25.614ms      60.410us           424  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      22.526ms         5.43%      22.526ms     281.575us            80  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.748ms         5.24%      21.748ms       5.605us          3880  
                                       aten::batch_norm         0.13%       1.289ms         5.19%      53.492ms     126.160us       0.000us         0.00%      20.449ms      48.229us           424  
                           aten::_batch_norm_impl_index         0.18%       1.849ms         5.07%      52.203ms     123.120us       0.000us         0.00%      20.449ms      48.229us           424  
