-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.69%      10.602ms         9.93%     152.831ms     360.450us       0.000us         0.00%     112.822ms     266.090us           424  
                                   ConvolutionBackward0         0.26%       3.988ms         8.92%     137.328ms     323.887us       0.000us         0.00%     108.401ms     255.663us           424  
                             aten::convolution_backward         6.12%      94.259ms         8.66%     133.340ms     314.481us     108.401ms        22.49%     108.401ms     255.663us           424  
                               Optimizer.step#Adam.step         8.45%     130.104ms        28.23%     434.497ms      54.312ms       0.000us         0.00%      74.513ms       9.314ms             8  
                  aten::fused_moving_avg_obs_fake_quant         0.18%       2.826ms        14.43%     222.147ms     216.940us       0.000us         0.00%      69.001ms      67.384us          1024  
                  aten::_fused_moving_avg_obs_fq_helper         2.12%      32.562ms        14.25%     219.321ms     214.181us       5.937ms         1.23%      69.001ms      67.384us          1024  
                                              aten::mul         3.82%      58.828ms         5.90%      90.783ms      33.475us      54.355ms        11.28%      54.355ms      20.042us          2712  
                                           aten::conv2d         0.11%       1.718ms         5.81%      89.440ms     210.943us       0.000us         0.00%      50.162ms     118.307us           424  
                                      aten::convolution         0.31%       4.845ms         5.70%      87.722ms     206.892us       0.000us         0.00%      50.162ms     118.307us           424  
                                     aten::_convolution         0.37%       5.707ms         5.38%      82.877ms     195.465us       0.000us         0.00%      50.162ms     118.307us           424  
      autograd::engine::evaluate_function: DivBackward0         1.38%      21.301ms         9.33%     143.611ms     169.353us       0.000us         0.00%      44.568ms      52.557us           848  
                                aten::cudnn_convolution         3.02%      46.456ms         4.23%      65.040ms     153.396us      43.826ms         9.09%      43.826ms     103.363us           424  
                                              aten::div         5.36%      82.537ms         8.20%     126.229ms      32.872us      36.150ms         7.50%      36.150ms       9.414us          3840  
                                             aten::add_         4.77%      73.411ms         9.07%     139.602ms      23.267us      35.756ms         7.42%      35.756ms       5.959us          6000  
                                           DivBackward0         0.79%      12.108ms         6.18%      95.202ms     112.267us       0.000us         0.00%      35.606ms      41.988us           848  
       aten::fake_quantize_per_channel_affine_cachemask         0.98%      15.080ms         5.32%      81.817ms     189.391us      30.563ms         6.34%      34.875ms      80.729us           432  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      31.465ms         6.53%      31.465ms       8.550us          3680  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      27.144ms         5.63%      27.144ms      16.005us          1696  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      22.917ms         4.75%      22.917ms       5.931us          3864  
