-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.69%      10.293ms        10.91%     162.818ms     384.005us       0.000us         0.00%     189.903ms     447.884us           424  
                                   ConvolutionBackward0         0.26%       3.861ms         9.88%     147.529ms     347.946us       0.000us         0.00%     181.005ms     426.899us           424  
                             aten::convolution_backward         6.82%     101.753ms         9.62%     143.668ms     338.840us     181.005ms        26.32%     181.005ms     426.899us           424  
                  aten::fused_moving_avg_obs_fake_quant         0.18%       2.714ms        14.38%     214.643ms     209.612us       0.000us         0.00%      86.953ms      84.915us          1024  
                  aten::_fused_moving_avg_obs_fq_helper         1.87%      27.908ms        14.20%     211.929ms     206.962us       5.889ms         0.86%      86.953ms      84.915us          1024  
      autograd::engine::evaluate_function: DivBackward0         1.33%      19.818ms         9.13%     136.345ms     160.784us       0.000us         0.00%      80.697ms      95.162us           848  
                               Optimizer.step#Adam.step         8.27%     123.532ms        27.65%     412.825ms      51.603ms       0.000us         0.00%      74.535ms       9.317ms             8  
                                              aten::mul         3.90%      58.226ms         6.03%      90.030ms      33.197us      73.848ms        10.74%      73.848ms      27.230us          2712  
                                           aten::conv2d         0.11%       1.587ms         5.63%      83.994ms     198.099us       0.000us         0.00%      72.085ms     170.012us           424  
                                      aten::convolution         0.31%       4.679ms         5.52%      82.407ms     194.356us       0.000us         0.00%      72.085ms     170.012us           424  
                                     aten::_convolution         0.37%       5.514ms         5.21%      77.728ms     183.321us       0.000us         0.00%      72.085ms     170.012us           424  
                                           DivBackward0         0.75%      11.134ms         5.87%      87.594ms     103.295us       0.000us         0.00%      69.201ms      81.605us           848  
                                              aten::div         5.12%      76.386ms         7.73%     115.337ms      30.036us      60.827ms         8.85%      60.827ms      15.840us          3840  
                                aten::cudnn_convolution         3.31%      49.410ms         4.05%      60.472ms     142.623us      59.716ms         8.68%      59.716ms     140.840us           424  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      51.484ms         7.49%      51.484ms      30.356us          1696  
                                             aten::add_         4.84%      72.199ms         9.17%     136.926ms      22.821us      41.855ms         6.09%      41.855ms       6.976us          6000  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      40.551ms         5.90%      40.551ms      11.019us          3680  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      39.800ms         5.79%      39.800ms     226.136us           176  
       aten::fake_quantize_per_channel_affine_cachemask         0.95%      14.253ms         5.09%      76.019ms     175.970us      30.873ms         4.49%      35.189ms      81.456us           432  
