-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.89%       9.690ms        26.80%     291.282ms     686.986us       0.000us         0.00%     222.427ms     524.592us           424  
                                   ConvolutionBackward0         0.37%       3.998ms        25.44%     276.413ms     651.917us       0.000us         0.00%     220.190ms     519.316us           424  
                             aten::convolution_backward        12.08%     131.280ms        25.07%     272.415ms     642.488us     220.190ms        50.94%     220.190ms     519.316us           424  
                               Optimizer.step#Adam.step        12.05%     130.892ms        40.84%     443.773ms      55.472ms       0.000us         0.00%      75.522ms       9.440ms             8  
                                           aten::conv2d         0.17%       1.803ms         8.12%      88.195ms     208.007us       0.000us         0.00%      71.090ms     167.665us           424  
                                      aten::convolution         0.45%       4.846ms         7.95%      86.392ms     203.755us       0.000us         0.00%      71.090ms     167.665us           424  
                                     aten::_convolution         0.30%       3.233ms         7.50%      81.546ms     192.325us       0.000us         0.00%      71.090ms     167.665us           424  
                                aten::cudnn_convolution         4.59%      49.868ms         7.21%      78.313ms     184.700us      71.090ms        16.45%      71.090ms     167.665us           424  
void wgrad_alg0_engine<float, 128, 5, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      65.142ms        15.07%      65.142ms      21.150us          3080  
void implicit_convolve_sgemm<float, float, 1024, 5, ...         0.00%       0.000us         0.00%       0.000us       0.000us      47.909ms        11.08%      47.909ms      13.220us          3624  
void cudnn::detail::dgrad_engine<float, 512, 6, 5, 3...         0.00%       0.000us         0.00%       0.000us       0.000us      45.023ms        10.42%      45.023ms      10.844us          4152  
void wgrad_alg0_engine<float, 512, 6, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      38.779ms         8.97%      38.779ms      37.870us          1024  
                                             aten::add_         6.97%      75.791ms        13.63%     148.061ms      25.957us      32.373ms         7.49%      32.373ms       5.675us          5704  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      26.763ms         6.19%      26.763ms       9.450us          2832  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      25.733ms         5.95%      25.733ms     103.762us           248  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.446ms         5.42%      23.446ms       6.043us          3880  
void cudnn::detail::dgrad_alg1_engine<float, 128, 5,...         0.00%       0.000us         0.00%       0.000us       0.000us      23.220ms         5.37%      23.220ms     145.125us           160  
