-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         1.20%      11.514ms        13.26%     127.032ms     283.554us       0.000us         0.00%      55.104ms     123.000us           448  
                                   ConvolutionBackward0         0.46%       4.441ms        11.97%     114.729ms     256.092us       0.000us         0.00%      54.419ms     121.471us           448  
                             aten::convolution_backward         7.15%      68.537ms        11.51%     110.288ms     246.179us      53.472ms        39.20%      54.419ms     121.471us           448  
                               Optimizer.step#Adam.step        14.42%     138.207ms        48.37%     463.515ms      57.939ms       0.000us         0.00%      19.636ms       2.454ms             8  
                                           aten::conv2d         0.19%       1.784ms         6.08%      58.240ms     130.000us       0.000us         0.00%      15.642ms      34.915us           448  
                                      aten::convolution         0.57%       5.426ms         5.89%      56.456ms     126.018us       0.000us         0.00%      15.642ms      34.915us           448  
                                     aten::_convolution         0.46%       4.432ms         5.32%      51.030ms     113.906us       0.000us         0.00%      15.642ms      34.915us           448  
                                aten::cudnn_convolution         2.88%      27.576ms         3.68%      35.288ms     119.216us      11.258ms         8.25%      11.258ms      38.034us           296  
autograd::engine::evaluate_function: CudnnBatchNormB...         1.05%      10.052ms         6.53%      62.612ms     139.759us       0.000us         0.00%      11.090ms      24.754us           448  
                                CudnnBatchNormBackward0         0.35%       3.400ms         5.48%      52.560ms     117.321us       0.000us         0.00%      11.090ms      24.754us           448  
                        aten::cudnn_batch_norm_backward         2.45%      23.446ms         5.13%      49.160ms     109.732us      11.090ms         8.13%      11.090ms      24.754us           448  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      10.224ms         7.49%      10.224ms      67.263us           152  
                                             aten::add_         7.92%      75.863ms        15.96%     152.980ms      25.982us       8.429ms         6.18%       8.429ms       1.432us          5888  
                                       aten::batch_norm         0.13%       1.261ms         5.21%      49.894ms     111.371us       0.000us         0.00%       8.132ms      18.152us           448  
                           aten::_batch_norm_impl_index         0.19%       1.848ms         5.07%      48.633ms     108.556us       0.000us         0.00%       8.132ms      18.152us           448  
                                 aten::cudnn_batch_norm         2.31%      22.136ms         4.88%      46.785ms     104.431us       8.132ms         5.96%       8.132ms      18.152us           448  
void cudnn::detail::dgrad_alg1_engine<float, 128, 5,...         0.00%       0.000us         0.00%       0.000us       0.000us       7.967ms         5.84%       7.967ms      55.326us           144  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us       7.881ms         5.78%       7.881ms      57.949us           136  
