-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.10%      45.402ms        56.94%       24.828s       7.460ms       0.000us         0.00%       20.601s       6.190ms          3328  
                                   ConvolutionBackward0         0.05%      19.659ms        56.37%       24.580s       7.386ms       0.000us         0.00%       20.330s       6.109ms          3328  
                             aten::convolution_backward         1.75%     761.610ms        56.33%       24.560s       7.380ms       18.690s        42.57%       20.330s       6.109ms          3328  
                                           aten::conv2d         0.05%      20.827ms         5.82%        2.536s     761.962us       0.000us         0.00%        7.992s       2.402ms          3328  
                                      aten::convolution         0.13%      55.328ms         5.77%        2.515s     755.704us       0.000us         0.00%        7.992s       2.402ms          3328  
                                     aten::_convolution         0.17%      74.290ms         5.64%        2.460s     739.079us       0.000us         0.00%        7.992s       2.402ms          3328  
void wgrad_alg0_engine<float, 128, 5, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us        6.815s        15.52%        6.815s       8.874ms           768  
                                aten::cudnn_convolution         1.38%     603.893ms         3.85%        1.680s     504.956us        5.381s        12.26%        5.381s       1.617ms          3328  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.01%       4.028ms         0.85%     369.130ms     961.276us       0.000us         0.00%        4.983s      12.978ms           384  
                          MaxPool2DWithIndicesBackward0         0.00%       1.824ms         0.84%     365.102ms     950.786us       0.000us         0.00%        4.983s      12.978ms           384  
                 aten::max_pool2d_with_indices_backward         0.01%       6.324ms         0.83%     363.278ms     946.036us        4.338s         9.88%        4.983s      12.978ms           384  
void at::native::(anonymous namespace)::max_pool_bac...         0.00%       0.000us         0.00%       0.000us       0.000us        4.338s         9.88%        4.338s      11.297ms           384  
     autograd::engine::evaluate_function: ReluBackward0         0.06%      24.569ms         8.97%        3.913s       1.176ms       0.000us         0.00%        3.889s       1.168ms          3328  
                                          ReluBackward0         0.04%      16.844ms         8.92%        3.888s       1.168ms       0.000us         0.00%        3.889s       1.168ms          3328  
                               aten::threshold_backward         0.14%      59.428ms         8.88%        3.872s       1.163ms        3.889s         8.86%        3.889s       1.168ms          3328  
    maxwell_scudnn_128x128_stridedB_splitK_medium_nn_v0         0.00%       0.000us         0.00%       0.000us       0.000us        3.723s         8.48%        3.723s       2.644ms          1408  
                                             aten::add_         0.35%     152.797ms        18.65%        8.132s     724.045us        2.632s         6.00%        2.632s     234.373us         11232  
                                            aten::relu_         0.15%      67.080ms         2.12%     922.864ms     277.303us       0.000us         0.00%        2.630s     790.150us          3328  
                                       aten::clamp_min_         0.12%      53.094ms         1.96%     855.784ms     257.147us        2.630s         5.99%        2.630s     790.150us          3328  
