-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.76%      13.836ms        19.46%     352.313ms     543.693us       0.000us         0.00%        1.110s       1.713ms           648  
                                   ConvolutionBackward0         0.32%       5.703ms        18.68%     338.244ms     521.981us       0.000us         0.00%        1.109s       1.712ms           648  
                             aten::convolution_backward        10.24%     185.341ms        18.37%     332.541ms     513.181us        1.092s        49.05%        1.109s       1.712ms           648  
void cudnn::ops::genericTranspose_kernel<float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     935.780ms        42.03%     935.780ms     268.286us          3488  
                                           aten::conv2d         0.11%       2.039ms         6.50%     117.743ms     181.702us       0.000us         0.00%     637.712ms     984.123us           648  
                                      aten::convolution         0.32%       5.800ms         6.39%     115.704ms     178.556us       0.000us         0.00%     637.712ms     984.123us           648  
                                     aten::_convolution         0.39%       7.014ms         6.07%     109.904ms     169.605us       0.000us         0.00%     637.712ms     984.123us           648  
                                aten::cudnn_convolution         3.47%      62.780ms         4.83%      87.442ms     134.941us     614.483ms        27.60%     614.483ms     948.276us           648  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     177.149ms         7.96%     177.149ms      19.789us          8952  
                                Optimizer.step#SGD.step         4.09%      74.011ms        49.01%     887.248ms     110.906ms       0.000us         0.00%     140.431ms      17.554ms             8  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     130.281ms         5.85%     130.281ms     814.256us           160  
                                             aten::add_         3.84%      69.596ms        20.41%     369.515ms      59.217us     113.792ms         5.11%     113.792ms      18.236us          6240  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      96.351ms         4.33%      96.351ms      23.028us          4184  
                                              aten::mul         2.69%      48.617ms         4.07%      73.679ms      30.906us      91.486ms         4.11%      91.486ms      38.375us          2384  
                                              aten::add         2.79%      50.486ms        17.50%     316.803ms      94.287us      86.586ms         3.89%      86.586ms      25.770us          3360  
      autograd::engine::evaluate_function: MulBackward0         0.89%      16.070ms         4.67%      84.629ms      62.595us       0.000us         0.00%      75.344ms      55.728us          1352  
                                           MulBackward0         0.35%       6.258ms         3.23%      58.491ms      43.263us       0.000us         0.00%      67.062ms      49.602us          1352  
maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile1...         0.00%       0.000us         0.00%       0.000us       0.000us      63.873ms         2.87%      63.873ms     106.455us           600  
                                             aten::mul_         1.65%      29.925ms        11.71%     211.989ms      89.221us      45.763ms         2.06%      51.726ms      21.770us          2376  
