-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.61%      21.594ms        19.70%     696.596ms     621.961us       0.000us         0.00%        1.903s       1.700ms          1120  
                                   ConvolutionBackward0         0.26%       9.256ms        18.45%     652.662ms     582.734us       0.000us         0.00%        1.842s       1.644ms          1120  
                             aten::convolution_backward         8.45%     298.967ms        18.19%     643.406ms     574.470us        1.839s        47.00%        1.842s       1.644ms          1120  
                                           aten::conv2d         0.09%       3.271ms         4.85%     171.573ms     153.190us       0.000us         0.00%     833.169ms     743.901us          1120  
                                      aten::convolution         0.28%      10.050ms         4.76%     168.302ms     150.270us       0.000us         0.00%     833.169ms     743.901us          1120  
                                     aten::_convolution         0.23%       8.041ms         4.47%     158.252ms     141.296us       0.000us         0.00%     833.169ms     743.901us          1120  
                                aten::cudnn_convolution         2.82%      99.677ms         3.97%     140.341ms     125.304us     832.072ms        21.27%     832.072ms     742.921us          1120  
void cudnn::ops::genericTranspose_kernel<float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     512.704ms        13.10%     512.704ms     781.561us           656  
void wgrad_alg0_engine<float, 128, 5, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     432.102ms        11.04%     432.102ms     153.445us          2816  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.35%      12.311ms         2.40%      84.812ms     123.273us       0.000us         0.00%     310.381ms     451.135us           688  
                                CudnnBatchNormBackward0         0.13%       4.546ms         2.05%      72.501ms     105.379us       0.000us         0.00%     310.381ms     451.135us           688  
                        aten::cudnn_batch_norm_backward         0.86%      30.493ms         1.92%      67.955ms      98.772us     310.381ms         7.93%     310.381ms     451.135us           688  
maxwell_scudnn_128x64_stridedB_splitK_interior_nn_v0...         0.00%       0.000us         0.00%       0.000us       0.000us     279.076ms         7.13%     279.076ms     996.700us           280  
                 maxwell_scudnn_128x32_relu_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     201.791ms         5.16%     201.791ms      93.077us          2168  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     198.222ms         5.07%     198.222ms      14.627us         13552  
     autograd::engine::evaluate_function: ReluBackward0         0.28%       9.729ms         1.74%      61.667ms      70.719us       0.000us         0.00%     196.587ms     225.444us           872  
                                          ReluBackward0         0.17%       6.070ms         1.47%      51.938ms      59.562us       0.000us         0.00%     196.587ms     225.444us           872  
                               aten::threshold_backward         0.51%      18.205ms         1.30%      45.868ms      52.601us     196.587ms         5.02%     196.587ms     225.444us           872  
