-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: AddmmBackward0         0.59%      10.501ms         5.25%      94.163ms     240.212us       0.000us         0.00%     660.128ms       1.684ms           392  
                                         AddmmBackward0         0.39%       7.012ms         3.15%      56.440ms     143.980us       0.000us         0.00%     618.390ms       1.578ms           392  
                                               aten::mm         1.32%      23.686ms         2.14%      38.411ms      48.994us     618.390ms        33.22%     618.390ms     788.763us           784  
                                           aten::linear         0.14%       2.536ms         7.57%     135.800ms     346.429us       0.000us         0.00%     368.300ms     939.541us           392  
                                            aten::addmm         0.75%      13.491ms         7.13%     127.790ms     325.995us     368.300ms        19.78%     368.300ms     939.541us           392  
                                 sgemm_128x128x8_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us     335.125ms        18.00%     335.125ms     872.721us           384  
                                 sgemm_128x128x8_NN_vec         0.00%       0.000us         0.00%       0.000us       0.000us     316.302ms        16.99%     316.302ms     823.703us           384  
                                maxwell_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     223.464ms        12.00%     223.464ms     570.061us           392  
                                              aten::bmm         0.70%      12.637ms         2.92%      52.401ms      90.974us     205.007ms        11.01%     205.007ms     355.915us           576  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     162.443ms         8.73%     162.443ms      27.816us          5840  
      autograd::engine::evaluate_function: BmmBackward0         0.17%       2.978ms         1.22%      21.886ms     113.990us       0.000us         0.00%     136.145ms     709.089us           192  
                                           BmmBackward0         0.14%       2.439ms         1.05%      18.908ms      98.479us       0.000us         0.00%     136.145ms     709.089us           192  
                                              aten::add         1.86%      33.422ms        15.91%     285.351ms     129.705us     134.654ms         7.23%     134.654ms      61.206us          2200  
autograd::engine::evaluate_function: SelectBackward0...         0.29%       5.265ms         2.31%      41.406ms     139.885us       0.000us         0.00%     130.085ms     439.476us           296  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     115.559ms         6.21%     115.559ms     106.999us          1080  
                               maxwell_sgemm_128x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us      99.924ms         5.37%      99.924ms       1.041ms            96  
                                            aten::copy_         0.63%      11.352ms         4.07%      72.922ms      82.119us      99.112ms         5.32%      99.112ms     111.613us           888  
                                           aten::matmul         0.11%       1.884ms         4.61%      82.713ms     430.797us       0.000us         0.00%      98.703ms     514.078us           192  
                                              aten::mul         0.36%       6.436ms         1.65%      29.552ms     102.611us      83.530ms         4.49%      83.530ms     290.035us           288  
