-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         1.67%      10.049ms        24.51%     147.357ms     472.298us       0.000us         0.00%     180.027ms     577.010us           312  
                                   ConvolutionBackward0         0.55%       3.302ms        20.88%     125.547ms     402.394us       0.000us         0.00%     173.990ms     557.660us           312  
                             aten::convolution_backward        14.45%      86.836ms        20.34%     122.245ms     391.811us     173.990ms        47.87%     173.990ms     557.660us           312  
                                           aten::conv2d         0.27%       1.638ms        10.55%      63.431ms     203.304us       0.000us         0.00%      64.886ms     207.968us           312  
                                      aten::convolution         0.75%       4.523ms        10.28%      61.793ms     198.054us       0.000us         0.00%      64.886ms     207.968us           312  
                                     aten::_convolution         0.48%       2.899ms         9.53%      57.270ms     183.558us       0.000us         0.00%      64.886ms     207.968us           312  
                                aten::cudnn_convolution         7.20%      43.276ms         9.04%      54.371ms     174.266us      64.886ms        17.85%      64.886ms     207.968us           312  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      47.151ms        12.97%      47.151ms      11.422us          4128  
                                Optimizer.step#SGD.step         8.00%      48.093ms        25.60%     153.878ms      19.235ms       0.000us         0.00%      43.628ms       5.454ms             8  
                                             aten::add_         7.57%      45.512ms        13.78%      82.821ms      26.143us      29.188ms         8.03%      29.188ms       9.213us          3168  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      24.703ms         6.80%      24.703ms     514.646us            48  
                                              aten::add         5.38%      32.343ms         8.18%      49.166ms      32.517us      24.624ms         6.78%      24.624ms      16.286us          1512  
maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile1...         0.00%       0.000us         0.00%       0.000us       0.000us      23.109ms         6.36%      23.109ms     262.602us            88  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      18.703ms         5.15%      18.703ms       1.169ms            16  
autograd::engine::evaluate_function: CudnnBatchNormB...         1.21%       7.285ms         7.77%      46.687ms     149.638us       0.000us         0.00%      17.126ms      54.891us           312  
                                CudnnBatchNormBackward0         0.46%       2.738ms         6.55%      39.402ms     126.288us       0.000us         0.00%      17.126ms      54.891us           312  
                        aten::cudnn_batch_norm_backward         2.98%      17.929ms         6.10%      36.664ms     117.513us      17.126ms         4.71%      17.126ms      54.891us           312  
maxwell_scudnn_winograd_128x128_ldg1_ldg4_relu_tile4...         0.00%       0.000us         0.00%       0.000us       0.000us      16.211ms         4.46%      16.211ms      88.103us           184  
