-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               Optimizer.step#Adam.step        10.94%     143.672ms        35.38%     464.654ms      58.082ms       0.000us         0.00%     166.920ms      20.865ms             8  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      68.426ms        19.42%      68.426ms      11.913us          5744  
    autograd::engine::evaluate_function: AddmmBackward0         1.24%      16.330ms        11.55%     151.752ms     256.338us       0.000us         0.00%      66.225ms     111.867us           592  
                                         AddmmBackward0         0.80%      10.529ms         8.04%     105.539ms     178.275us       0.000us         0.00%      60.714ms     102.557us           592  
                                               aten::mm         3.71%      48.691ms         6.06%      79.623ms      67.249us      60.714ms        17.23%      60.714ms      51.279us          1184  
                                             aten::add_         5.07%      66.608ms         9.91%     130.130ms      20.538us      56.301ms        15.98%      56.301ms       8.886us          6336  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      47.580ms        13.50%      47.580ms       8.930us          5328  
                                           aten::linear         0.55%       7.255ms         6.82%      89.575ms     151.309us       0.000us         0.00%      38.726ms      65.416us           592  
                                            aten::addmm         3.19%      41.944ms         5.27%      69.169ms     116.840us      38.726ms        10.99%      38.726ms      65.416us           592  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      33.143ms         9.41%      33.143ms      56.752us           584  
                                             aten::mul_         2.44%      31.994ms         4.45%      58.451ms      18.450us      31.993ms         9.08%      31.993ms      10.099us          3168  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      29.279ms         8.31%      29.279ms      50.135us           584  
                                         aten::addcdiv_         1.28%      16.846ms         2.33%      30.602ms      19.319us      28.721ms         8.15%      28.721ms      18.132us          1584  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      28.721ms         8.15%      28.721ms      18.132us          1584  
                                              aten::add         3.57%      46.916ms         5.74%      75.384ms      25.468us      27.426ms         7.78%      27.426ms       9.266us          2960  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      23.041ms         6.54%      23.041ms      48.002us           480  
autograd::engine::evaluate_function: torch::autograd...         1.26%      16.564ms         5.61%      73.748ms      46.558us       0.000us         0.00%      22.326ms      14.095us          1584  
                        torch::autograd::AccumulateGrad         0.98%      12.877ms         4.35%      57.184ms      36.101us       0.000us         0.00%      22.326ms      14.095us          1584  
                                         aten::addcmul_         1.25%      16.388ms         2.26%      29.729ms      18.768us      20.318ms         5.77%      20.318ms      12.827us          1584  
