-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::conv2d         1.06%     660.000us        36.85%      22.903ms     106.032us       0.000us         0.00%      11.971ms      55.421us           216  
                                      aten::convolution         1.60%     993.000us        35.79%      22.243ms     102.977us       0.000us         0.00%      11.971ms      55.421us           216  
                                     aten::_convolution         2.38%       1.482ms        34.19%      21.250ms      98.380us       0.000us         0.00%      11.971ms      55.421us           216  
                                aten::cudnn_convolution        23.18%      14.405ms        29.61%      18.404ms      85.204us      11.819ms        76.72%      11.819ms      54.718us           216  
volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148...         0.00%       0.000us         0.00%       0.000us       0.000us       5.349ms        34.72%       5.349ms      74.292us            72  
void implicit_convolve_sgemm<float, float, 128, 5, 5...         0.00%       0.000us         0.00%       0.000us       0.000us       3.959ms        25.70%       3.959ms      44.989us            88  
void cudnn::winograd::generateWinogradTilesKernel<0,...         0.00%       0.000us         0.00%       0.000us       0.000us       1.665ms        10.81%       1.665ms      23.125us            72  
                                           aten::linear         0.32%     198.000us         6.40%       3.975ms      99.375us       0.000us         0.00%       1.141ms      28.525us            40  
                                            aten::addmm         3.28%       2.036ms         5.55%       3.448ms      86.200us       1.141ms         7.41%       1.141ms      28.525us            40  
                        volta_sgemm_128x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us     671.000us         4.36%     671.000us      83.875us             8  
void implicit_convolve_sgemm<float, float, 1024, 5, ...         0.00%       0.000us         0.00%       0.000us       0.000us     622.000us         4.04%     622.000us      12.958us            48  
                                       aten::batch_norm         0.63%     392.000us        18.45%      11.465ms      68.244us       0.000us         0.00%     512.000us       3.048us           168  
                           aten::_batch_norm_impl_index         0.77%     481.000us        17.82%      11.073ms      65.911us       0.000us         0.00%     512.000us       3.048us           168  
                                 aten::cudnn_batch_norm         8.01%       4.978ms        17.04%      10.592ms      63.048us     512.000us         3.32%     512.000us       3.048us           168  
void cudnn::bn_fw_inf_1C11_kernel_NCHW<float, float,...         0.00%       0.000us         0.00%       0.000us       0.000us     512.000us         3.32%     512.000us       3.048us           168  
                                            aten::copy_         2.06%       1.278ms         7.00%       4.348ms      27.175us     409.000us         2.65%     409.000us       2.556us           160  
                                             aten::relu         1.85%       1.150ms         9.30%       5.780ms      30.104us       0.000us         0.00%     400.000us       2.083us           192  
                                        aten::clamp_min         4.60%       2.862ms         7.45%       4.630ms      24.115us     400.000us         2.60%     400.000us       2.083us           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     400.000us         2.60%     400.000us       2.083us           192  
