-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.12%       6.258ms         8.97%     471.812ms       1.053ms       0.000us         0.00%        2.788s       6.223ms           448  
                                   ConvolutionBackward0         0.05%       2.568ms         8.85%     465.554ms       1.039ms       0.000us         0.00%        2.788s       6.223ms           448  
                             aten::convolution_backward         2.20%     115.450ms         8.80%     462.986ms       1.033ms        2.756s        52.14%        2.788s       6.223ms           448  
                                           aten::conv2d         0.04%       1.889ms         4.53%     238.316ms     451.356us       0.000us         0.00%        1.782s       3.374ms           528  
                                      aten::convolution         0.09%       4.841ms         4.50%     236.427ms     447.778us       0.000us         0.00%        1.782s       3.374ms           528  
                                     aten::_convolution         0.12%       6.404ms         4.40%     231.586ms     438.610us       0.000us         0.00%        1.782s       3.374ms           528  
                                aten::cudnn_convolution         1.85%      97.102ms         3.63%     191.158ms     362.042us        1.659s        31.38%        1.659s       3.142ms           528  
turing_scudnn_128x64_stridedB_splitK_xregs_large_nn_...         0.00%       0.000us         0.00%       0.000us       0.000us     769.503ms        14.56%     769.503ms       3.103ms           248  
               volta_scudnn_128x64_stridedB_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     756.053ms        14.30%     756.053ms       2.363ms           320  
             volta_scudnn_128x64_relu_xregs_large_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     516.544ms         9.77%     516.544ms       2.935ms           176  
                  volta_scudnn_128x128_relu_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     477.918ms         9.04%     477.918ms       2.715ms           176  
void cudnn::detail::dgrad_alg1_engine<float, 512, 6,...         0.00%       0.000us         0.00%       0.000us       0.000us     410.057ms         7.76%     410.057ms       8.543ms            48  
turing_scudnn_128x32_stridedB_splitK_xregs_large_nn_...         0.00%       0.000us         0.00%       0.000us       0.000us     306.545ms         5.80%     306.545ms      12.773ms            24  
         volta_scudnn_128x128_3dconv_fprop_medium_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     230.460ms         4.36%     230.460ms       4.801ms            48  
              volta_scudnn_128x128_stridedB_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     215.452ms         4.08%     215.452ms       2.992ms            72  
turing_scudnn_128x128_stridedB_splitK_xregs_large_nn...         0.00%       0.000us         0.00%       0.000us       0.000us     203.555ms         3.85%     203.555ms       2.544ms            80  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     150.666ms         2.85%     150.666ms     188.333us           800  
