-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               Optimizer.step#Adam.step         7.47%      10.576ms        23.52%      33.309ms       4.164ms       0.000us         0.00%      71.956ms       8.995ms             8  
                                             aten::add_         3.73%       5.281ms         7.35%      10.413ms      18.864us      29.559ms        20.69%      29.559ms      53.549us           552  
autograd::engine::evaluate_function: ConvolutionBack...         0.36%     513.000us         8.17%      11.574ms     289.350us       0.000us         0.00%      23.543ms     588.575us            40  
                                   ConvolutionBackward0         0.21%     293.000us         7.81%      11.061ms     276.525us       0.000us         0.00%      23.543ms     588.575us            40  
                             aten::convolution_backward         4.47%       6.335ms         7.60%      10.768ms     269.200us      22.585ms        15.81%      23.543ms     588.575us            40  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      22.069ms        15.44%      22.069ms      55.172us           400  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.372ms        14.96%      21.372ms      83.484us           256  
                                             aten::mul_         1.91%       2.699ms         3.51%       4.968ms      19.406us      14.775ms        10.34%      14.775ms      57.715us           256  
                                         aten::addcdiv_         0.98%       1.391ms         1.77%       2.501ms      19.539us      14.150ms         9.90%      14.150ms     110.547us           128  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      14.150ms         9.90%      14.150ms     110.547us           128  
                                           aten::conv2d         0.11%     159.000us         5.31%       7.518ms     187.950us       0.000us         0.00%      11.711ms     292.775us            40  
                                      aten::convolution         0.28%     400.000us         5.20%       7.359ms     183.975us       0.000us         0.00%      11.711ms     292.775us            40  
                                     aten::_convolution         0.34%     475.000us         4.91%       6.959ms     173.975us       0.000us         0.00%      11.711ms     292.775us            40  
                                aten::cudnn_convolution         2.82%       4.001ms         3.83%       5.419ms     135.475us      10.742ms         7.52%      10.742ms     268.550us            40  
autograd::engine::evaluate_function: torch::autograd...         0.68%     956.000us         3.19%       4.525ms      35.352us       0.000us         0.00%      10.742ms      83.922us           128  
                        torch::autograd::AccumulateGrad         0.55%     784.000us         2.52%       3.569ms      27.883us       0.000us         0.00%      10.742ms      83.922us           128  
                                         aten::addcmul_         0.98%       1.383ms         1.73%       2.453ms      19.164us      10.613ms         7.43%      10.613ms      82.914us           128  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.613ms         7.43%      10.613ms      82.914us           128  
    autograd::engine::evaluate_function: AddmmBackward0         0.47%     660.000us         4.17%       5.908ms     246.167us       0.000us         0.00%       8.401ms     350.042us            24  
