-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         7.95%      98.413ms        12.92%     159.978ms      74.896us     113.666ms        40.69%     113.666ms      53.214us          2136  
                               Optimizer.step#Adam.step         9.65%     119.541ms        31.27%     387.330ms      48.416ms       0.000us         0.00%      72.823ms       9.103ms             8  
                                           aten::linear         0.44%       5.403ms         8.50%     105.255ms     135.638us       0.000us         0.00%      53.187ms      68.540us           776  
       autograd::engine::evaluate_function: MmBackward0         0.77%       9.498ms         9.48%     117.421ms     201.063us       0.000us         0.00%      47.954ms      82.113us           584  
                                            MmBackward0         0.76%       9.396ms         8.71%     107.923ms     184.800us       0.000us         0.00%      47.954ms      82.113us           584  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      47.589ms        17.03%      47.589ms      61.326us           776  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      41.730ms        14.94%      41.730ms      56.853us           734  
    autograd::engine::evaluate_function: AddmmBackward0         0.42%       5.250ms         3.87%      47.947ms     249.724us       0.000us         0.00%      39.984ms     208.250us           192  
                                         AddmmBackward0         0.29%       3.602ms         2.69%      33.360ms     173.750us       0.000us         0.00%      36.900ms     192.188us           192  
                                           aten::matmul         1.01%      12.478ms         9.82%     121.616ms     139.468us       0.000us         0.00%      35.550ms      40.768us           872  
                                             aten::add_         5.29%      65.507ms        10.34%     128.005ms      20.566us      30.127ms        10.78%      30.127ms       4.840us          6224  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      27.353ms         9.79%      27.353ms      44.988us           608  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      26.906ms         9.63%      26.906ms       5.615us          4792  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      26.290ms         9.41%      26.290ms       7.007us          3752  
                                            aten::addmm         1.14%      14.133ms         1.91%      23.677ms     123.318us      24.375ms         8.73%      24.375ms     126.953us           192  
                                             aten::mul_         2.51%      31.080ms         4.62%      57.168ms      19.107us      18.270ms         6.54%      18.270ms       6.106us          2992  
                                         aten::addcdiv_         1.40%      17.320ms         2.41%      29.799ms      19.919us      14.255ms         5.10%      14.255ms       9.529us          1496  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      14.255ms         5.10%      14.255ms       9.529us          1496  
autograd::engine::evaluate_function: torch::autograd...         1.16%      14.318ms         5.45%      67.517ms      45.132us       0.000us         0.00%      12.433ms       8.311us          1496  
