-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.74%      12.673ms        13.35%     227.552ms     237.033us       0.000us         0.00%     155.748ms     162.238us           960  
                                   ConvolutionBackward0         0.36%       6.102ms        12.60%     214.879ms     223.832us       0.000us         0.00%     155.748ms     162.238us           960  
                             aten::convolution_backward         8.47%     144.318ms        12.25%     208.777ms     217.476us     155.571ms        37.66%     155.748ms     162.238us           960  
                                           aten::conv2d         0.20%       3.386ms         7.62%     129.848ms     135.258us       0.000us         0.00%      58.263ms      60.691us           960  
                                      aten::convolution         0.53%       9.067ms         7.42%     126.462ms     131.731us       0.000us         0.00%      58.263ms      60.691us           960  
                                     aten::_convolution         0.36%       6.056ms         6.89%     117.395ms     122.286us       0.000us         0.00%      58.263ms      60.691us           960  
                                aten::cudnn_convolution         5.01%      85.450ms         6.53%     111.339ms     115.978us      58.263ms        14.10%      58.263ms      60.691us           960  
                               Optimizer.step#Adam.step        13.49%     229.904ms        43.91%     748.534ms      93.567ms       0.000us         0.00%      49.766ms       6.221ms             8  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      49.496ms        11.98%      49.496ms     104.864us           472  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.77%      13.082ms         4.97%      84.703ms      87.503us       0.000us         0.00%      37.065ms      38.290us           968  
                                CudnnBatchNormBackward0         0.28%       4.799ms         4.20%      71.621ms      73.989us       0.000us         0.00%      37.065ms      38.290us           968  
                        aten::cudnn_batch_norm_backward         2.00%      34.116ms         3.92%      66.822ms      69.031us      37.065ms         8.97%      37.065ms      38.290us           968  
volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148...         0.00%       0.000us         0.00%       0.000us       0.000us      35.556ms         8.61%      35.556ms      52.911us           672  
                                   volta_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      25.975ms         6.29%      25.975ms      77.307us           336  
                                       aten::batch_norm         0.12%       2.098ms         5.51%      93.878ms      96.981us       0.000us         0.00%      25.103ms      25.933us           968  
                           aten::_batch_norm_impl_index         0.19%       3.220ms         5.38%      91.780ms      94.814us       0.000us         0.00%      25.103ms      25.933us           968  
                                 aten::cudnn_batch_norm         2.58%      43.926ms         5.19%      88.560ms      91.488us      25.103ms         6.08%      25.103ms      25.933us           968  
      autograd::engine::evaluate_function: CatBackward0         1.60%      27.262ms         8.41%     143.436ms     289.185us       0.000us         0.00%      22.711ms      45.788us           496  
