-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.31%      12.243ms         6.24%     244.590ms     372.851us       0.000us         0.00%        1.617s       2.465ms           656  
                                   ConvolutionBackward0         0.13%       4.908ms         5.67%     222.056ms     338.500us       0.000us         0.00%        1.499s       2.285ms           656  
                             aten::convolution_backward         3.98%     156.099ms         5.54%     217.148ms     331.018us        1.481s        41.35%        1.499s       2.285ms           656  
volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148...         0.00%       0.000us         0.00%       0.000us       0.000us     781.718ms        21.83%     781.718ms       1.916ms           408  
                                      aten::convolution         0.17%       6.825ms         3.59%     140.616ms     214.354us       0.000us         0.00%     684.792ms       1.044ms           656  
                                     aten::_convolution         0.16%       6.283ms         3.41%     133.791ms     203.950us       0.000us         0.00%     684.792ms       1.044ms           656  
                                           aten::conv2d         0.07%       2.647ms         3.61%     141.535ms     218.418us       0.000us         0.00%     678.351ms       1.047ms           648  
                                aten::cudnn_convolution         2.58%     100.979ms         3.06%     120.043ms     185.252us     649.277ms        18.13%     649.277ms       1.002ms           648  
autograd::engine::evaluate_function: torch::autograd...         0.03%       1.075ms         0.17%       6.706ms     104.781us       0.000us         0.00%     373.865ms       5.842ms            64  
torch::autograd::CppNode<vision::ops::(anonymous nam...         0.01%     506.000us         0.13%       4.907ms      76.672us       0.000us         0.00%     360.487ms       5.633ms            64  
                       torchvision::_roi_align_backward         0.04%       1.689ms         0.11%       4.401ms      68.766us     352.037ms         9.83%     360.487ms       5.633ms            64  
void vision::ops::(anonymous namespace)::roi_align_b...         0.00%       0.000us         0.00%       0.000us       0.000us     352.037ms         9.83%     352.037ms       5.678ms            62  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     290.799ms         8.12%     290.799ms       1.127ms           258  
                                              aten::add         0.84%      33.067ms         1.28%      50.318ms      25.059us     240.566ms         6.72%     240.566ms     119.804us          2008  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     236.673ms         6.61%     236.673ms      73.776us          3208  
                                   volta_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     207.743ms         5.80%     207.743ms     799.012us           260  
                                              aten::mul         1.10%      43.173ms         1.76%      68.785ms      23.428us     186.007ms         5.19%     186.007ms      63.354us          2936  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     182.121ms         5.08%     182.121ms     199.694us           912  
