-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: AddmmBackward0         0.70%      77.628ms         7.15%     790.903ms     270.857us       0.000us         0.00%        4.074s       1.395ms          2920  
                                         AddmmBackward0         0.47%      51.663ms         4.64%     512.887ms     175.646us       0.000us         0.00%        3.942s       1.350ms          2920  
                                               aten::mm         2.11%     232.873ms         3.49%     386.510ms      66.183us        3.942s        35.05%        3.942s     675.073us          5840  
                                           aten::linear         0.34%      37.752ms         3.68%     406.880ms     137.459us       0.000us         0.00%        2.163s     730.616us          2960  
                                            aten::addmm         1.81%     200.321ms         2.70%     298.724ms     100.920us        2.163s        19.23%        2.163s     730.616us          2960  
                                 volta_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us        2.066s        18.37%        2.066s     717.412us          2880  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us        1.931s        17.17%        1.931s     670.353us          2880  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us        1.382s        12.28%        1.382s     566.219us          2440  
                                              aten::bmm         0.92%     102.295ms         1.26%     138.969ms      48.253us        1.170s        10.40%        1.170s     406.311us          2880  
                                              aten::mul         0.79%      87.653ms         1.23%     135.892ms      34.282us     977.226ms         8.69%     977.226ms     246.525us          3964  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     755.748ms         6.72%     755.748ms     126.126us          5992  
      autograd::engine::evaluate_function: BmmBackward0         0.11%      12.639ms         1.13%     125.150ms     130.365us       0.000us         0.00%     753.088ms     784.467us           960  
                                           BmmBackward0         0.11%      12.088ms         1.02%     112.511ms     117.199us       0.000us         0.00%     753.088ms     784.467us           960  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     723.858ms         6.44%     723.858ms     301.608us          2400  
                                 volta_sgemm_128x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     628.584ms         5.59%     628.584ms       1.310ms           480  
                                              aten::add         1.02%     112.391ms         1.59%     175.596ms      34.004us     551.937ms         4.91%     551.937ms     106.882us          5164  
                                   volta_sgemm_64x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us     508.599ms         4.52%     508.599ms     529.791us           960  
                                           aten::matmul         0.17%      18.490ms         1.71%     189.624ms     197.525us       0.000us         0.00%     495.306ms     515.944us           960  
                                              aten::div         0.43%      47.241ms         0.65%      71.553ms      33.751us     482.290ms         4.29%     482.290ms     227.495us          2120  
