-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: AddmmBackward0         1.74%      20.265ms        22.73%     265.286ms     442.143us       0.000us         0.00%     466.754ms     777.923us           600  
                                         AddmmBackward0         0.87%      10.166ms        13.39%     156.312ms     260.520us       0.000us         0.00%     445.192ms     741.987us           600  
                                               aten::mm         4.10%      47.900ms        11.24%     131.142ms     109.285us     445.192ms        34.72%     445.192ms     370.993us          1200  
                                           aten::linear         0.62%       7.200ms         9.74%     113.666ms     189.443us       0.000us         0.00%     246.681ms     411.135us           600  
                                            aten::addmm         3.38%      39.438ms         7.95%      92.791ms     154.652us     246.681ms        19.24%     246.681ms     411.135us           600  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     225.421ms        17.58%     225.421ms     380.779us           592  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     218.981ms        17.08%     218.981ms     369.900us           592  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us     149.504ms        11.66%     149.504ms     306.361us           488  
                                              aten::mul         2.06%      24.095ms         5.24%      61.170ms      49.014us     144.874ms        11.30%     144.874ms     116.085us          1248  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     105.479ms         8.23%     105.479ms      65.924us          1600  
                                              aten::bmm         1.62%      18.941ms         2.88%      33.661ms      58.439us     104.060ms         8.12%     104.060ms     180.660us           576  
                                              aten::add         4.19%      48.855ms         9.45%     110.261ms      43.894us     103.654ms         8.08%     103.654ms      41.264us          2512  
                                 volta_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us      82.492ms         6.43%      82.492ms     793.192us           104  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      80.414ms         6.27%      80.414ms     157.059us           512  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      80.327ms         6.27%      80.327ms      29.104us          2760  
      autograd::engine::evaluate_function: BmmBackward0         0.21%       2.414ms         2.26%      26.326ms     137.115us       0.000us         0.00%      69.900ms     364.062us           192  
                                           BmmBackward0         0.18%       2.148ms         2.05%      23.912ms     124.542us       0.000us         0.00%      69.900ms     364.062us           192  
      autograd::engine::evaluate_function: MulBackward0         0.43%       5.071ms         3.00%      35.061ms      84.281us       0.000us         0.00%      67.952ms     163.346us           416  
                                           MulBackward0         0.18%       2.091ms         2.28%      26.582ms      63.899us       0.000us         0.00%      54.482ms     130.966us           416  
