-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: AddmmBackward0         1.52%      15.512ms        14.52%     147.996ms     249.993us       0.000us         0.00%     154.017ms     260.164us           592  
                                         AddmmBackward0         0.99%      10.116ms        10.15%     103.398ms     174.659us       0.000us         0.00%     145.282ms     245.409us           592  
                                               aten::mm         4.61%      46.933ms         7.66%      78.084ms      65.949us     145.282ms        28.89%     145.282ms     122.704us          1184  
                               Optimizer.step#Adam.step        12.67%     129.101ms        41.46%     422.413ms      52.802ms       0.000us         0.00%     128.998ms      16.125ms             8  
                                           aten::linear         0.77%       7.873ms         9.12%      92.888ms     156.905us       0.000us         0.00%      82.961ms     140.137us           592  
                                            aten::addmm         4.23%      43.136ms         6.84%      69.733ms     117.792us      82.961ms        16.50%      82.961ms     140.137us           592  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      71.795ms        14.28%      71.795ms     121.275us           592  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      67.519ms        13.43%      67.519ms     136.127us           496  
                                             aten::add_         6.47%      65.954ms        13.03%     132.783ms      20.517us      50.926ms        10.13%      50.926ms       7.869us          6472  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      50.859ms        10.11%      50.859ms      10.075us          5048  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      47.389ms         9.42%      47.389ms      12.367us          3832  
                                 volta_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us      40.602ms         8.07%      40.602ms     101.505us           400  
                                              aten::bmm         1.97%      20.080ms         2.70%      27.519ms      47.776us      39.504ms         7.86%      39.504ms      68.583us           576  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      38.265ms         7.61%      38.265ms     199.297us           192  
                                             aten::mul_         3.57%      36.384ms         6.55%      66.792ms      20.666us      28.952ms         5.76%      28.952ms       8.958us          3232  
      autograd::engine::evaluate_function: BmmBackward0         0.27%       2.730ms         2.38%      24.292ms     126.521us       0.000us         0.00%      27.098ms     141.135us           192  
                                           BmmBackward0         0.23%       2.325ms         2.12%      21.562ms     112.302us       0.000us         0.00%      27.098ms     141.135us           192  
                                         aten::addcdiv_         1.72%      17.524ms         3.05%      31.044ms      19.210us      26.890ms         5.35%      26.890ms      16.640us          1616  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      26.890ms         5.35%      26.890ms      16.640us          1616  
