-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: AddmmBackward0         1.12%      15.244ms        11.57%     156.845ms     264.941us       0.000us         0.00%     575.376ms     971.919us           592  
                                         AddmmBackward0         0.74%       9.995ms         7.50%     101.617ms     171.650us       0.000us         0.00%     554.544ms     936.730us           592  
                                               aten::mm         3.43%      46.467ms         5.66%      76.666ms      64.752us     554.544ms        38.56%     554.544ms     468.365us          1184  
                                           aten::linear         0.57%       7.723ms         6.34%      85.904ms     145.108us       0.000us         0.00%     294.683ms     497.775us           592  
                                            aten::addmm         3.05%      41.325ms         4.68%      63.470ms     107.213us     294.683ms        20.49%     294.683ms     497.775us           592  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     272.177ms        18.93%     272.177ms     459.758us           592  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     227.009ms        15.79%     227.009ms     388.714us           584  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us     150.791ms        10.49%     150.791ms     308.998us           488  
                               Optimizer.step#Adam.step         9.50%     128.735ms        54.29%     735.867ms      91.983ms       0.000us         0.00%     131.631ms      16.454ms             8  
                                 volta_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     129.656ms         9.02%     129.656ms       1.247ms           104  
                                              aten::bmm         1.48%      20.049ms         2.03%      27.568ms      47.861us     107.257ms         7.46%     107.257ms     186.210us           576  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      78.657ms         5.47%      78.657ms      15.582us          5048  
      autograd::engine::evaluate_function: BmmBackward0         0.19%       2.533ms         1.81%      24.533ms     127.776us       0.000us         0.00%      72.891ms     379.641us           192  
                                           BmmBackward0         0.16%       2.232ms         1.62%      22.000ms     114.583us       0.000us         0.00%      72.891ms     379.641us           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      64.330ms         4.47%      64.330ms      16.823us          3824  
                                 volta_sgemm_128x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us      55.332ms         3.85%      55.332ms       6.917ms             8  
autograd::engine::evaluate_function: SoftmaxBackward...         0.07%     950.000us         0.43%       5.896ms      61.417us       0.000us         0.00%      53.327ms     555.490us            96  
                                       SoftmaxBackward0         0.03%     469.000us         0.36%       4.946ms      51.521us       0.000us         0.00%      53.327ms     555.490us            96  
                           aten::_softmax_backward_data         0.12%       1.681ms         0.33%       4.477ms      46.635us      26.775ms         1.86%      53.327ms     555.490us            96  
