-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: SliceBackward0         3.13%      92.316ms        25.16%     741.764ms      75.017us       0.000us         0.00%     440.601ms      44.559us          9888  
                                         SliceBackward0         0.83%      24.420ms        19.64%     579.048ms      58.561us       0.000us         0.00%     354.215ms      35.823us          9888  
                                   aten::slice_backward         2.07%      60.945ms        18.81%     554.628ms      56.091us       0.000us         0.00%     354.215ms      35.823us          9888  
    autograd::engine::evaluate_function: AddmmBackward0         0.54%      16.060ms         5.45%     160.783ms     271.593us       0.000us         0.00%     318.132ms     537.385us           592  
                                         AddmmBackward0         0.36%      10.712ms         3.53%     104.076ms     175.804us       0.000us         0.00%     305.665ms     516.326us           592  
                                               aten::mm         1.50%      44.280ms         2.64%      77.929ms      65.818us     305.665ms        19.15%     305.665ms     258.163us          1184  
                                            aten::copy_         3.87%     113.996ms         9.04%     266.432ms      16.342us     264.719ms        16.59%     264.725ms      16.237us         16304  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     219.348ms        13.74%     219.348ms      22.604us          9704  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     187.931ms        11.78%     187.931ms      21.240us          8848  
                                           aten::linear         0.26%       7.602ms         3.23%      95.367ms     158.945us       0.000us         0.00%     163.597ms     272.662us           600  
                                            aten::addmm         1.52%      44.892ms         2.46%      72.652ms     121.087us     163.597ms        10.25%     163.597ms     272.662us           600  
                                              aten::bmm         4.47%     131.739ms         6.02%     177.430ms      38.505us     152.863ms         9.58%     152.863ms      33.173us          4608  
                               Optimizer.step#Adam.step         4.57%     134.788ms        14.53%     428.578ms      53.572ms       0.000us         0.00%     150.574ms      18.822ms             8  
                                            aten::fill_         3.01%      88.749ms         6.77%     199.691ms      15.019us     142.090ms         8.90%     142.090ms      10.687us         13296  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     142.090ms         8.90%     142.090ms      10.687us         13296  
                                              aten::add         2.65%      78.177ms         4.27%     125.807ms      23.195us     142.058ms         8.90%     142.058ms      26.191us          5424  
                                            aten::zero_         1.56%      45.944ms         8.08%     238.255ms      18.464us       0.000us         0.00%     141.623ms      10.975us         12904  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     140.624ms         8.81%     140.624ms     283.516us           496  
                                            aten::zeros         1.85%      54.574ms        12.63%     372.516ms      29.546us       0.000us         0.00%     137.471ms      10.903us         12608  
