-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: _ReversibleFunc...         0.00%     115.000us        64.84%        2.460s     307.549ms       0.000us         0.00%        2.603s     325.341ms             8  
                            _ReversibleFunctionBackward         2.86%     108.599ms        64.84%        2.460s     307.535ms       0.000us         0.00%        2.603s     325.341ms             8  
                                    _ReversibleFunction         1.53%      57.877ms        22.84%     866.763ms     108.345ms       0.000us         0.00%     953.508ms     119.189ms             8  
                                               aten::mm         0.93%      35.346ms         1.43%      54.357ms      61.769us     805.187ms        22.20%     805.187ms     914.985us           880  
                                           aten::matmul         0.17%       6.398ms         1.14%      43.251ms      81.915us       0.000us         0.00%     564.126ms       1.068ms           528  
                                           aten::linear         0.10%       3.784ms         1.46%      55.363ms     103.289us       0.000us         0.00%     501.386ms     935.422us           536  
                                 volta_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     476.287ms        13.13%     476.287ms     902.059us           528  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     452.718ms        12.48%     452.718ms     278.767us          1624  
                                              aten::bmm         0.37%      14.035ms         0.49%      18.535ms      45.429us     417.654ms        11.52%     417.654ms       1.024ms           408  
    autograd::engine::evaluate_function: SliceBackward0         0.13%       4.896ms         1.15%      43.774ms      75.997us       0.000us         0.00%     391.706ms     680.045us           576  
                                            aten::copy_         0.33%      12.583ms        69.83%        2.649s       1.459ms     352.399ms         9.72%     352.399ms     194.052us          1816  
       autograd::engine::evaluate_function: MmBackward0         0.05%       2.024ms         0.81%      30.568ms     181.952us       0.000us         0.00%     319.927ms       1.904ms           168  
                                            MmBackward0         0.07%       2.800ms         0.75%      28.544ms     169.905us       0.000us         0.00%     319.927ms       1.904ms           168  
                                         SliceBackward0         0.04%       1.341ms         0.91%      34.627ms      60.116us       0.000us         0.00%     285.631ms     495.887us           576  
                                   aten::slice_backward         0.10%       3.711ms         0.88%      33.286ms      57.788us       0.000us         0.00%     285.631ms     495.887us           576  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     281.062ms         7.75%     281.062ms     627.371us           448  
                                              aten::cat         0.47%      17.766ms         0.83%      31.383ms      49.657us     248.867ms         6.86%     248.867ms     393.777us           632  
                                              aten::add         0.31%      11.723ms         0.49%      18.694ms      26.256us     238.663ms         6.58%     238.663ms     335.201us           712  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     221.610ms         6.11%     221.610ms     814.743us           272  
