-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.86%       5.466ms        12.26%      77.826ms     187.082us       0.000us         0.00%     158.638ms     381.341us           416  
                                   ConvolutionBackward0         0.38%       2.416ms        11.08%      70.341ms     169.089us       0.000us         0.00%     157.186ms     377.851us           416  
                             aten::convolution_backward         6.96%      44.201ms        10.70%      67.925ms     163.281us     157.186ms        43.22%     157.186ms     377.851us           416  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.83%       5.282ms         5.57%      35.385ms      85.060us       0.000us         0.00%      57.552ms     138.346us           416  
                                CudnnBatchNormBackward0         0.30%       1.912ms         4.74%      30.103ms      72.363us       0.000us         0.00%      57.552ms     138.346us           416  
                        aten::cudnn_batch_norm_backward         2.25%      14.313ms         4.44%      28.191ms      67.767us      57.552ms        15.83%      57.552ms     138.346us           416  
                                           aten::conv2d         0.22%       1.419ms         7.39%      46.928ms     112.808us       0.000us         0.00%      44.908ms     107.952us           416  
                                      aten::convolution         0.61%       3.852ms         7.17%      45.509ms     109.397us       0.000us         0.00%      44.908ms     107.952us           416  
                                     aten::_convolution         0.47%       2.973ms         6.56%      41.657ms     100.137us       0.000us         0.00%      44.908ms     107.952us           416  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      44.184ms        12.15%      44.184ms     324.882us           136  
                                       aten::batch_norm         0.14%     918.000us         6.09%      38.673ms      92.964us       0.000us         0.00%      33.843ms      81.353us           416  
                           aten::_batch_norm_impl_index         0.21%       1.340ms         5.95%      37.755ms      90.757us       0.000us         0.00%      33.843ms      81.353us           416  
                                 aten::cudnn_batch_norm         2.90%      18.425ms         5.74%      36.415ms      87.536us      33.843ms         9.31%      33.843ms      81.353us           416  
     autograd::engine::evaluate_function: ReluBackward0         0.37%       2.345ms         1.64%      10.401ms      37.146us       0.000us         0.00%      26.927ms      96.168us           280  
                                          ReluBackward0         0.20%       1.282ms         1.27%       8.056ms      28.771us       0.000us         0.00%      26.927ms      96.168us           280  
                               aten::threshold_backward         0.68%       4.291ms         1.07%       6.774ms      24.193us      26.927ms         7.40%      26.927ms      96.168us           280  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      26.927ms         7.40%      26.927ms      96.168us           280  
                                aten::cudnn_convolution         4.29%      27.226ms         5.38%      34.131ms     121.896us      23.984ms         6.59%      23.984ms      85.657us           280  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      21.229ms         5.84%      21.229ms     189.545us           112  
