-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.76%       5.513ms        10.44%      76.142ms     183.034us       0.000us         0.00%     303.170ms     728.774us           416  
                                   ConvolutionBackward0         0.32%       2.316ms         9.41%      68.603ms     164.911us       0.000us         0.00%     300.107ms     721.411us           416  
                             aten::convolution_backward         6.00%      43.769ms         9.09%      66.287ms     159.344us     300.107ms        43.10%     300.107ms     721.411us           416  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.70%       5.083ms         4.81%      35.076ms      84.317us       0.000us         0.00%     118.137ms     283.983us           416  
                                CudnnBatchNormBackward0         0.25%       1.845ms         4.11%      29.993ms      72.099us       0.000us         0.00%     118.137ms     283.983us           416  
                        aten::cudnn_batch_norm_backward         1.99%      14.488ms         3.86%      28.148ms      67.663us     118.137ms        16.97%     118.137ms     283.983us           416  
                                           aten::conv2d         0.19%       1.417ms         6.44%      47.000ms     112.981us       0.000us         0.00%      85.581ms     205.724us           416  
                                      aten::convolution         0.53%       3.842ms         6.25%      45.583ms     109.575us       0.000us         0.00%      85.581ms     205.724us           416  
                                     aten::_convolution         0.41%       3.003ms         5.72%      41.741ms     100.339us       0.000us         0.00%      85.581ms     205.724us           416  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      84.040ms        12.07%      84.040ms     617.941us           136  
                                       aten::batch_norm         0.12%     893.000us         5.27%      38.414ms      92.341us       0.000us         0.00%      72.028ms     173.144us           416  
                           aten::_batch_norm_impl_index         0.19%       1.355ms         5.15%      37.521ms      90.195us       0.000us         0.00%      72.028ms     173.144us           416  
                                 aten::cudnn_batch_norm         2.52%      18.345ms         4.96%      36.166ms      86.938us      72.028ms        10.35%      72.028ms     173.144us           416  
     autograd::engine::evaluate_function: ReluBackward0         0.32%       2.309ms         1.57%      11.482ms      41.007us       0.000us         0.00%      53.784ms     192.086us           280  
                                          ReluBackward0         0.18%       1.320ms         1.26%       9.173ms      32.761us       0.000us         0.00%      53.784ms     192.086us           280  
                               aten::threshold_backward         0.59%       4.280ms         1.08%       7.853ms      28.046us      53.784ms         7.72%      53.784ms     192.086us           280  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      53.784ms         7.72%      53.784ms     192.086us           280  
                                aten::cudnn_convolution         3.73%      27.194ms         4.68%      34.143ms     121.939us      44.080ms         6.33%      44.080ms     157.429us           280  
void cudnn::bn_bw_1C11_kernel_new<float, float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      42.142ms         6.05%      42.142ms       1.317ms            32  
