-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.88%       5.760ms        11.82%      77.090ms     185.312us       0.000us         0.00%     150.930ms     362.812us           416  
                                   ConvolutionBackward0         0.37%       2.387ms        10.62%      69.277ms     166.531us       0.000us         0.00%     149.867ms     360.257us           416  
                             aten::convolution_backward         6.76%      44.084ms        10.26%      66.890ms     160.793us     149.867ms        35.98%     149.867ms     360.257us           416  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.80%       5.233ms         5.49%      35.836ms      86.144us       0.000us         0.00%      71.286ms     171.361us           416  
                                CudnnBatchNormBackward0         0.29%       1.895ms         4.69%      30.603ms      73.565us       0.000us         0.00%      71.286ms     171.361us           416  
                        aten::cudnn_batch_norm_backward         2.17%      14.160ms         4.40%      28.708ms      69.010us      71.286ms        17.11%      71.286ms     171.361us           416  
                                        aten::hardtanh_         0.47%       3.079ms         3.27%      21.308ms      76.100us       0.000us         0.00%      47.187ms     168.525us           280  
                                           aten::conv2d         0.22%       1.429ms         7.60%      49.562ms     119.139us       0.000us         0.00%      45.236ms     108.740us           416  
                                      aten::convolution         0.61%       3.954ms         7.38%      48.133ms     115.704us       0.000us         0.00%      45.236ms     108.740us           416  
                                     aten::_convolution         0.48%       3.145ms         6.77%      44.179ms     106.200us       0.000us         0.00%      45.236ms     108.740us           416  
                                       aten::batch_norm         0.14%     896.000us         6.00%      39.162ms      94.139us       0.000us         0.00%      42.933ms     103.204us           416  
                           aten::_batch_norm_impl_index         0.21%       1.394ms         5.87%      38.266ms      91.986us       0.000us         0.00%      42.933ms     103.204us           416  
                                 aten::cudnn_batch_norm         2.86%      18.637ms         5.65%      36.872ms      88.635us      42.933ms        10.31%      42.933ms     103.204us           416  
autograd::engine::evaluate_function: HardtanhBackwar...         0.39%       2.516ms         1.74%      11.323ms      40.439us       0.000us         0.00%      34.115ms     121.839us           280  
                                      HardtanhBackward0         0.14%     899.000us         1.35%       8.807ms      31.454us       0.000us         0.00%      34.115ms     121.839us           280  
                                aten::hardtanh_backward         0.53%       3.456ms         1.21%       7.908ms      28.243us      34.115ms         8.19%      34.115ms     121.839us           280  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      34.115ms         8.19%      34.115ms     121.839us           280  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      31.020ms         7.45%      31.020ms     228.088us           136  
void cudnn::bn_bw_1C11_kernel_new<float, float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      26.814ms         6.44%      26.814ms     837.938us            32  
