-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.53%       6.278ms         6.59%      78.708ms     189.202us       0.000us         0.00%      43.678ms     104.995us           416  
                                   ConvolutionBackward0         0.22%       2.615ms         5.90%      70.380ms     169.183us       0.000us         0.00%      43.459ms     104.469us           416  
                             aten::convolution_backward         3.77%      45.016ms         5.68%      67.765ms     162.897us      43.459ms        20.47%      43.459ms     104.469us           416  
                  aten::fused_moving_avg_obs_fake_quant         0.25%       2.958ms        20.20%     241.084ms     194.423us       0.000us         0.00%      41.154ms      33.189us          1240  
                  aten::_fused_moving_avg_obs_fq_helper         2.92%      34.908ms        19.95%     238.126ms     192.037us       8.887ms         4.19%      41.154ms      33.189us          1240  
      autograd::engine::evaluate_function: DivBackward0         1.06%      12.703ms         7.64%      91.142ms     109.546us       0.000us         0.00%      27.647ms      33.230us           832  
                               Optimizer.step#Adam.step         8.94%     106.702ms        28.76%     343.295ms      42.912ms       0.000us         0.00%      24.048ms       3.006ms             8  
                                              aten::div         4.79%      57.123ms         7.40%      88.279ms      23.429us      21.371ms        10.07%      21.371ms       5.672us          3768  
                                           DivBackward0         0.67%       8.009ms         5.00%      59.704ms      71.760us       0.000us         0.00%      21.240ms      25.529us           832  
                                              aten::mul         3.47%      41.367ms         5.56%      66.314ms      22.898us      20.069ms         9.45%      20.069ms       6.930us          2896  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      16.662ms         7.85%      16.662ms      10.013us          1664  
                                           aten::conv2d         0.13%       1.571ms         4.87%      58.149ms     139.781us       0.000us         0.00%      14.273ms      34.310us           416  
                                      aten::convolution         0.36%       4.327ms         4.74%      56.578ms     136.005us       0.000us         0.00%      14.273ms      34.310us           416  
                                     aten::_convolution         0.41%       4.839ms         4.38%      52.251ms     125.603us       0.000us         0.00%      14.273ms      34.310us           416  
autograd::engine::evaluate_function: FusedMovingAvgO...         0.82%       9.740ms         3.60%      42.928ms      34.844us       0.000us         0.00%      11.956ms       9.705us          1232  
                     FusedMovingAvgObsFqHelperBackward0         0.27%       3.189ms         2.78%      33.188ms      26.938us       0.000us         0.00%      11.956ms       9.705us          1232  
aten::fake_quantize_per_tensor_affine_cachemask_back...         0.16%       1.915ms         2.51%      29.999ms      24.350us       0.000us         0.00%      11.956ms       9.705us          1232  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      11.956ms         5.63%      11.956ms       9.705us          1232  
