-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.91%       6.537ms        12.60%      90.728ms     182.919us       0.000us         0.00%      40.865ms      82.389us           496  
                                   ConvolutionBackward0         0.38%       2.715ms        11.43%      82.295ms     165.917us       0.000us         0.00%      40.537ms      81.728us           496  
                             aten::convolution_backward         6.95%      50.017ms        11.05%      79.580ms     160.444us      39.819ms        35.87%      40.537ms      81.728us           496  
                               Optimizer.step#Adam.step        15.15%     109.106ms        49.35%     355.436ms      44.429ms       0.000us         0.00%      27.382ms       3.423ms             8  
                                           aten::conv2d         0.24%       1.707ms         8.35%      60.107ms     121.183us       0.000us         0.00%      13.145ms      26.502us           496  
                                      aten::convolution         0.63%       4.573ms         8.11%      58.400ms     117.742us       0.000us         0.00%      13.145ms      26.502us           496  
                                     aten::_convolution         0.59%       4.243ms         7.47%      53.827ms     108.522us       0.000us         0.00%      13.145ms      26.502us           496  
                                             aten::add_         7.89%      56.803ms        15.29%     110.140ms      17.926us      11.329ms        10.21%      11.329ms       1.844us          6144  
                                aten::cudnn_convolution         4.66%      33.579ms         5.86%      42.193ms     112.215us      10.039ms         9.04%      10.039ms      26.699us           376  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.717ms         8.75%       9.717ms       2.314us          4200  
void cudnn::detail::dgrad_alg1_engine<float, 128, 5,...         0.00%       0.000us         0.00%       0.000us       0.000us       9.281ms         8.36%       9.281ms      40.004us           232  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.830ms         7.05%       7.830ms       2.603us          3008  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.62%       4.451ms         4.28%      30.826ms      83.766us       0.000us         0.00%       7.776ms      21.130us           368  
                                CudnnBatchNormBackward0         0.24%       1.698ms         3.66%      26.375ms      71.671us       0.000us         0.00%       7.776ms      21.130us           368  
                        aten::cudnn_batch_norm_backward         1.76%      12.699ms         3.43%      24.677ms      67.057us       7.776ms         7.01%       7.776ms      21.130us           368  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us       6.753ms         6.08%       6.753ms      56.275us           120  
                                             aten::mul_         3.89%      28.004ms         7.24%      52.156ms      18.681us       6.567ms         5.92%       6.567ms       2.352us          2792  
void wgrad_alg0_engine<float, 128, 5, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us       5.410ms         4.87%       5.410ms      52.019us           104  
