-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.57%      22.310ms        14.60%     206.882ms      89.793us     858.154ms        58.57%     858.154ms     372.463us          2304  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     858.154ms        58.57%     858.154ms     372.463us          2304  
                                Optimizer.step#SGD.step         1.59%      22.512ms        15.40%     218.259ms       3.410ms       0.000us         0.00%     767.934ms      11.999ms            64  
autograd::engine::evaluate_function: torch::autograd...         0.37%       5.291ms         2.55%      36.189ms      47.121us       0.000us         0.00%     286.580ms     373.151us           768  
                        torch::autograd::AccumulateGrad         0.30%       4.314ms         2.18%      30.898ms      40.232us       0.000us         0.00%     286.580ms     373.151us           768  
                                             aten::mul_         0.59%       8.296ms         1.08%      15.303ms      19.926us     196.360ms        13.40%     196.360ms     255.677us           768  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     196.360ms        13.40%     196.360ms     255.677us           768  
    autograd::engine::evaluate_function: AddmmBackward0         0.50%       7.140ms         8.44%     119.527ms     311.268us       0.000us         0.00%     180.881ms     471.044us           384  
                                         AddmmBackward0         0.35%       4.904ms         3.20%      45.373ms     118.159us       0.000us         0.00%     178.386ms     464.547us           384  
                                               aten::mm         1.49%      21.129ms         2.32%      32.901ms      46.734us     178.386ms        12.18%     178.386ms     253.389us           704  
                                           aten::linear         0.13%       1.837ms        12.89%     182.599ms     475.518us       0.000us         0.00%     132.121ms     344.065us           384  
                                            aten::addmm         1.43%      20.321ms        12.45%     176.365ms     459.284us     132.121ms         9.02%     132.121ms     344.065us           384  
                                 volta_sgemm_128x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us     110.292ms         7.53%     110.292ms     861.656us           128  
                                            aten::fill_         0.46%       6.452ms        30.31%     429.428ms     479.272us      91.861ms         6.27%      91.861ms     102.523us           896  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      91.861ms         6.27%      91.861ms     102.523us           896  
                                            aten::zero_         0.41%       5.855ms        30.64%     434.115ms     452.203us       0.000us         0.00%      91.787ms      95.611us           960  
                      Optimizer.zero_grad#SGD.zero_grad         0.46%       6.488ms        30.99%     439.117ms       6.861ms       0.000us         0.00%      91.649ms       1.432ms            64  
                        volta_sgemm_128x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us      83.287ms         5.68%      83.287ms       1.301ms            64  
                        volta_sgemm_128x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us      64.051ms         4.37%      64.051ms       1.001ms            64  
