-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.90%       6.091ms        13.19%      88.998ms     209.901us       0.000us         0.00%      55.620ms     131.179us           424  
                                   ConvolutionBackward0         0.37%       2.466ms        11.81%      79.706ms     187.986us       0.000us         0.00%      54.756ms     129.142us           424  
                             aten::convolution_backward         7.98%      53.854ms        11.45%      77.240ms     182.170us      54.756ms        35.54%      54.756ms     129.142us           424  
                               Optimizer.step#Adam.step        14.98%     101.072ms        48.93%     330.143ms      41.268ms       0.000us         0.00%      43.553ms       5.444ms             8  
                                           aten::conv2d         0.23%       1.519ms         8.92%      60.208ms     142.000us       0.000us         0.00%      26.384ms      62.226us           424  
                                      aten::convolution         0.59%       4.012ms         8.70%      58.689ms     138.417us       0.000us         0.00%      26.384ms      62.226us           424  
                                     aten::_convolution         0.40%       2.698ms         8.10%      54.677ms     128.955us       0.000us         0.00%      26.384ms      62.226us           424  
                                aten::cudnn_convolution         5.91%      39.882ms         7.70%      51.979ms     122.592us      26.384ms        17.12%      26.384ms      62.226us           424  
                                             aten::add_         7.95%      53.665ms        15.55%     104.932ms      18.396us      18.055ms        11.72%      18.055ms       3.165us          5704  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      14.921ms         9.68%      14.921ms       3.846us          3880  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      13.734ms         8.91%      13.734ms       4.850us          2832  
                                             aten::mul_         4.02%      27.130ms         7.33%      49.477ms      19.207us      10.465ms         6.79%      10.465ms       4.062us          2576  
                                         aten::addcdiv_         2.09%      14.130ms         3.69%      24.916ms      19.345us       8.064ms         5.23%       8.064ms       6.261us          1288  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.064ms         5.23%       8.064ms       6.261us          1288  
void cudnn::detail::dgrad_alg1_engine<float, 128, 5,...         0.00%       0.000us         0.00%       0.000us       0.000us       7.930ms         5.15%       7.930ms      66.083us           120  
volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148...         0.00%       0.000us         0.00%       0.000us       0.000us       7.828ms         5.08%       7.828ms      51.500us           152  
volta_scudnn_128x32_sliced1x4_ldg4_relu_exp_interior...         0.00%       0.000us         0.00%       0.000us       0.000us       7.557ms         4.90%       7.557ms      55.566us           136  
void cudnn::cnn::wgrad_alg1_engine<float, float, 128...         0.00%       0.000us         0.00%       0.000us       0.000us       7.330ms         4.76%       7.330ms      65.446us           112  
