-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.78%       5.616ms        11.74%      84.439ms     188.480us       0.000us         0.00%      68.359ms     152.587us           448  
                                   ConvolutionBackward0         0.36%       2.593ms        10.89%      78.329ms     174.842us       0.000us         0.00%      67.124ms     149.830us           448  
                             aten::convolution_backward         6.74%      48.483ms        10.53%      75.736ms     169.054us      65.652ms        35.13%      67.124ms     149.830us           448  
                               Optimizer.step#Adam.step        14.93%     107.338ms        48.54%     349.047ms      43.631ms       0.000us         0.00%      23.793ms       2.974ms             8  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.80%       5.765ms         5.30%      38.088ms      85.018us       0.000us         0.00%      21.359ms      47.676us           448  
                                CudnnBatchNormBackward0         0.29%       2.089ms         4.50%      32.323ms      72.150us       0.000us         0.00%      21.359ms      47.676us           448  
                        aten::cudnn_batch_norm_backward         2.16%      15.528ms         4.20%      30.234ms      67.487us      21.359ms        11.43%      21.359ms      47.676us           448  
                                           aten::conv2d         0.21%       1.497ms         7.64%      54.965ms     122.690us       0.000us         0.00%      21.231ms      47.391us           448  
                                      aten::convolution         0.60%       4.312ms         7.44%      53.468ms     119.348us       0.000us         0.00%      21.231ms      47.391us           448  
                                     aten::_convolution         0.51%       3.662ms         6.84%      49.156ms     109.723us       0.000us         0.00%      21.231ms      47.391us           448  
void wgrad_alg0_engine<float, 128, 6, 7, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      19.388ms        10.38%      19.388ms      93.212us           208  
                                aten::cudnn_convolution         4.07%      29.293ms         5.08%      36.529ms     123.409us      14.273ms         7.64%      14.273ms      48.220us           296  
void cudnn::bn_bw_1C11_kernel_new<float, float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      12.638ms         6.76%      12.638ms      39.494us           320  
                volta_scudnn_128x64_relu_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      12.564ms         6.72%      12.564ms      43.625us           288  
                                       aten::batch_norm         0.14%     985.000us         5.98%      43.013ms      96.011us       0.000us         0.00%      11.678ms      26.067us           448  
                           aten::_batch_norm_impl_index         0.21%       1.492ms         5.85%      42.028ms      93.812us       0.000us         0.00%      11.678ms      26.067us           448  
                                 aten::cudnn_batch_norm         2.94%      21.171ms         5.64%      40.536ms      90.482us      11.678ms         6.25%      11.678ms      26.067us           448  
            volta_scudnn_128x64_stridedB_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      10.023ms         5.36%      10.023ms      46.403us           216  
