-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.55%      52.618ms        51.30%        4.939s       1.484ms       0.000us         0.00%        4.596s       1.381ms          3328  
                                   ConvolutionBackward0         0.21%      20.018ms        50.27%        4.839s       1.454ms       0.000us         0.00%        4.533s       1.362ms          3328  
                             aten::convolution_backward         5.22%     502.407ms        50.06%        4.819s       1.448ms        4.206s        42.76%        4.533s       1.362ms          3328  
                                           aten::conv2d         0.12%      11.883ms        13.18%        1.269s     381.290us       0.000us         0.00%        1.875s     563.346us          3328  
                                      aten::convolution         0.32%      30.517ms        13.06%        1.257s     377.719us       0.000us         0.00%        1.875s     563.346us          3328  
                                     aten::_convolution         0.41%      39.643ms        12.74%        1.227s     368.549us       0.000us         0.00%        1.875s     563.346us          3328  
                                aten::cudnn_convolution         3.19%     307.522ms        10.13%     974.935ms     292.949us        1.231s        12.51%        1.231s     369.898us          3328  
void wgrad_alg0_engine<float, 512, 6, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     959.607ms         9.76%     959.607ms     937.116us          1024  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.04%       4.266ms         0.38%      36.808ms      95.854us       0.000us         0.00%     948.455ms       2.470ms           384  
                          MaxPool2DWithIndicesBackward0         0.02%       1.900ms         0.34%      32.542ms      84.745us       0.000us         0.00%     948.455ms       2.470ms           384  
                 aten::max_pool2d_with_indices_backward         0.07%       6.979ms         0.32%      30.642ms      79.797us     786.894ms         8.00%     948.455ms       2.470ms           384  
     autograd::engine::evaluate_function: ReluBackward0         0.28%      27.042ms         5.97%     574.879ms     172.740us       0.000us         0.00%     932.750ms     280.273us          3328  
                                          ReluBackward0         0.17%      16.375ms         5.69%     547.837ms     164.614us       0.000us         0.00%     932.750ms     280.273us          3328  
                               aten::threshold_backward         0.59%      56.639ms         5.52%     531.462ms     159.694us     932.750ms         9.48%     932.750ms     280.273us          3328  
void at::native::(anonymous namespace)::max_pool_bac...         0.00%       0.000us         0.00%       0.000us       0.000us     786.894ms         8.00%     786.894ms       2.049ms           384  
                                             aten::add_         1.22%     117.112ms        15.69%        1.510s     134.479us     662.587ms         6.74%     662.587ms      58.991us         11232  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     643.797ms         6.54%     643.797ms     193.449us          3328  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     638.314ms         6.49%     638.314ms     191.801us          3328  
