-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.90%       8.719ms        13.18%     127.200ms     196.296us       0.000us         0.00%     366.661ms     565.835us           648  
                                   ConvolutionBackward0         0.38%       3.674ms        12.08%     116.658ms     180.028us       0.000us         0.00%     364.484ms     562.475us           648  
                             aten::convolution_backward         7.30%      70.447ms        11.70%     112.984ms     174.358us     363.015ms        35.87%     364.484ms     562.475us           648  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.51%       4.968ms         3.48%      33.611ms      85.742us       0.000us         0.00%     145.138ms     370.250us           392  
                                CudnnBatchNormBackward0         0.19%       1.810ms         2.97%      28.643ms      73.069us       0.000us         0.00%     145.138ms     370.250us           392  
                        aten::cudnn_batch_norm_backward         1.42%      13.725ms         2.78%      26.833ms      68.452us     145.138ms        14.34%     145.138ms     370.250us           392  
                                           aten::conv2d         0.24%       2.350ms         8.59%      82.940ms     127.994us       0.000us         0.00%     106.934ms     165.022us           648  
                                      aten::convolution         0.67%       6.439ms         8.35%      80.590ms     124.367us       0.000us         0.00%     106.934ms     165.022us           648  
                                     aten::_convolution         0.61%       5.912ms         7.68%      74.151ms     114.431us       0.000us         0.00%     106.934ms     165.022us           648  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us     100.458ms         9.93%     100.458ms     784.828us           128  
                                            aten::silu_         0.62%       5.964ms         2.58%      24.951ms      63.651us      47.905ms         4.73%      95.518ms     243.668us           392  
                                       aten::batch_norm         0.09%     901.000us         4.00%      38.634ms      98.556us       0.000us         0.00%      90.205ms     230.115us           392  
                           aten::_batch_norm_impl_index         0.14%       1.390ms         3.91%      37.733ms      96.258us       0.000us         0.00%      90.205ms     230.115us           392  
                                 aten::cudnn_batch_norm         1.97%      19.043ms         3.76%      36.343ms      92.712us      90.205ms         8.91%      90.205ms     230.115us           392  
     autograd::engine::evaluate_function: SiluBackward0         0.36%       3.484ms         1.43%      13.805ms      35.217us       0.000us         0.00%      69.897ms     178.309us           392  
                                          SiluBackward0         0.13%       1.294ms         1.07%      10.321ms      26.329us       0.000us         0.00%      69.897ms     178.309us           392  
                                    aten::silu_backward         0.57%       5.520ms         0.94%       9.027ms      23.028us      69.897ms         6.91%      69.897ms     178.309us           392  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      69.897ms         6.91%      69.897ms     178.309us           392  
                                              aten::mul         0.65%       6.316ms         0.99%       9.577ms      24.940us      60.880ms         6.02%      60.880ms     158.542us           384  
