-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         1.14%      10.590ms        25.58%     236.687ms     365.258us       0.000us         0.00%     384.131ms     592.795us           648  
                                   ConvolutionBackward0         0.46%       4.291ms        24.42%     225.920ms     348.642us       0.000us         0.00%     383.747ms     592.202us           648  
                             aten::convolution_backward        13.36%     123.593ms        23.95%     221.629ms     342.020us     374.746ms        45.41%     383.747ms     592.202us           648  
                                           aten::conv2d         0.24%       2.243ms        13.72%     126.982ms     195.960us       0.000us         0.00%     229.001ms     353.397us           648  
                                      aten::convolution         0.69%       6.417ms        13.48%     124.739ms     192.498us       0.000us         0.00%     229.001ms     353.397us           648  
                                     aten::_convolution         0.80%       7.389ms        12.79%     118.322ms     182.596us       0.000us         0.00%     229.001ms     353.397us           648  
                                aten::cudnn_convolution         7.44%      68.854ms        10.28%      95.146ms     146.830us     219.454ms        26.59%     219.454ms     338.664us           648  
void cudnn::ops::genericTranspose_kernel<float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     118.603ms        14.37%     118.603ms     529.478us           224  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      80.398ms         9.74%      80.398ms       8.981us          8952  
                   volta_scudnn_128x64_relu_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      77.805ms         9.43%      77.805ms     143.024us           544  
                                Optimizer.step#SGD.step         6.15%      56.872ms        20.54%     190.078ms      23.760ms       0.000us         0.00%      64.907ms       8.113ms             8  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      56.402ms         6.83%      56.402ms     335.726us           168  
                                             aten::add_         5.85%      54.126ms        10.64%      98.496ms      15.785us      49.880ms         6.04%      49.880ms       7.994us          6240  
                                   volta_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      45.863ms         5.56%      45.863ms      33.526us          1368  
                volta_scudnn_128x64_relu_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      44.439ms         5.38%      44.439ms     185.162us           240  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      43.535ms         5.28%      43.535ms      10.405us          4184  
                                              aten::mul         3.97%      36.762ms         6.11%      56.540ms      23.716us      41.377ms         5.01%      41.377ms      17.356us          2384  
                                              aten::add         4.00%      37.021ms         6.31%      58.379ms      17.375us      40.065ms         4.85%      40.065ms      11.924us          3360  
