-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: AddmmBackward0         1.67%      10.683ms        17.52%     111.862ms     285.362us       0.000us         0.00%     109.632ms     279.673us           392  
                                         AddmmBackward0         1.02%       6.522ms        11.46%      73.173ms     186.666us       0.000us         0.00%     101.921ms     260.003us           392  
                                               aten::mm         5.27%      33.628ms         8.91%      56.892ms      72.566us     101.921ms        34.80%     101.921ms     130.001us           784  
                                           aten::linear         0.76%       4.843ms         8.71%      55.632ms     141.918us       0.000us         0.00%      63.215ms     161.263us           392  
                                            aten::addmm         4.11%      26.260ms         6.54%      41.736ms     106.469us      63.215ms        21.59%      63.215ms     161.263us           392  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      58.792ms        20.08%      58.792ms     153.104us           384  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      51.024ms        17.42%      51.024ms     132.875us           384  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      50.754ms        17.33%      50.754ms     132.172us           384  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      31.331ms        10.70%      31.331ms       5.365us          5840  
                                              aten::bmm         3.08%      19.663ms         4.14%      26.462ms      45.941us      27.178ms         9.28%      27.178ms      47.184us           576  
                                Optimizer.step#SGD.step         6.25%      39.882ms        20.59%     131.499ms      16.437ms       0.000us         0.00%      19.331ms       2.416ms             8  
                                              aten::add         4.84%      30.883ms         7.64%      48.818ms      22.190us      19.036ms         6.50%      19.036ms       8.653us          2200  
      autograd::engine::evaluate_function: BmmBackward0         0.46%       2.909ms         3.83%      24.439ms     127.286us       0.000us         0.00%      18.067ms      94.099us           192  
                                           BmmBackward0         0.37%       2.367ms         3.37%      21.530ms     112.135us       0.000us         0.00%      18.067ms      94.099us           192  
autograd::engine::evaluate_function: SelectBackward0...         0.52%       3.309ms         4.10%      26.156ms      88.365us       0.000us         0.00%      14.664ms      49.541us           296  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      14.106ms         4.82%      14.106ms      13.061us          1080  
                                           aten::matmul         0.63%       4.048ms         6.04%      38.547ms     200.766us       0.000us         0.00%      12.853ms      66.943us           192  
                                             aten::add_         6.25%      39.924ms        11.67%      74.519ms      20.383us      12.411ms         4.24%      12.411ms       3.395us          3656  
                                            aten::copy_         1.62%      10.366ms         3.26%      20.842ms      23.471us      11.761ms         4.02%      11.761ms      13.244us           888  
