-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.09%       1.310ms        14.82%     224.354ms       2.157ms       0.000us         0.00%     737.234ms       7.089ms           104  
                                   ConvolutionBackward0         0.04%     628.000us        14.74%     223.044ms       2.145ms       0.000us         0.00%     737.234ms       7.089ms           104  
                             aten::convolution_backward         1.03%      15.557ms        14.70%     222.416ms       2.139ms     711.823ms        46.83%     737.234ms       7.089ms           104  
                                   volta_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     363.289ms        23.90%     363.289ms       1.974ms           184  
                                           aten::conv2d         0.02%     350.000us         8.99%     136.021ms       1.308ms       0.000us         0.00%     354.372ms       3.407ms           104  
                                      aten::convolution         0.07%       1.022ms         8.96%     135.671ms       1.305ms       0.000us         0.00%     354.372ms       3.407ms           104  
                                     aten::_convolution         0.08%       1.241ms         8.90%     134.649ms       1.295ms       0.000us         0.00%     354.372ms       3.407ms           104  
                                aten::cudnn_convolution         0.62%       9.330ms         7.33%     110.924ms       1.067ms     302.374ms        19.89%     302.374ms       2.907ms           104  
                               Optimizer.step#Adam.step         1.37%      20.777ms        30.73%     465.155ms      58.144ms       0.000us         0.00%     165.022ms      20.628ms             8  
                                   volta_sgemm_64x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     143.928ms         9.47%     143.928ms       1.636ms            88  
                                             aten::add_         0.69%      10.455ms        11.23%     169.906ms     150.626us     117.489ms         7.73%     117.489ms     104.157us          1128  
volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148...         0.00%       0.000us         0.00%       0.000us       0.000us     107.655ms         7.08%     107.655ms       6.728ms            16  
void cudnn::winograd_nonfused::winogradForwardData4x...         0.00%       0.000us         0.00%       0.000us       0.000us     102.155ms         6.72%     102.155ms     580.426us           176  
void cudnn::winograd_nonfused::winogradWgradDelta4x4...         0.00%       0.000us         0.00%       0.000us       0.000us      96.907ms         6.38%      96.907ms       1.009ms            96  
void cudnn::winograd_nonfused::winogradForwardOutput...         0.00%       0.000us         0.00%       0.000us       0.000us      81.936ms         5.39%      81.936ms     465.545us           176  
     autograd::engine::evaluate_function: ReluBackward0         0.06%     966.000us         2.49%      37.611ms     313.425us       0.000us         0.00%      76.056ms     633.800us           120  
                                          ReluBackward0         0.04%     630.000us         2.42%      36.645ms     305.375us       0.000us         0.00%      76.056ms     633.800us           120  
                               aten::threshold_backward         0.12%       1.829ms         2.38%      36.015ms     300.125us      76.056ms         5.00%      76.056ms     633.800us           120  
