-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               Optimizer.step#Adam.step         4.88%      20.728ms        30.52%     129.573ms      16.197ms       0.000us         0.00%     165.040ms      20.630ms             8  
autograd::engine::evaluate_function: ConvolutionBack...         0.32%       1.349ms        11.49%      48.793ms     469.163us       0.000us         0.00%     118.537ms       1.140ms           104  
                                   ConvolutionBackward0         0.14%     601.000us        11.17%      47.444ms     456.192us       0.000us         0.00%     118.537ms       1.140ms           104  
                             aten::convolution_backward         3.75%      15.931ms        11.03%      46.843ms     450.413us     114.548ms        26.55%     118.537ms       1.140ms           104  
volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148...         0.00%       0.000us         0.00%       0.000us       0.000us     106.174ms        24.61%     106.174ms     552.990us           192  
                                             aten::add_         2.46%      10.457ms        11.47%      48.715ms      43.187us      72.190ms        16.73%      72.190ms      63.998us          1128  
                                           aten::conv2d         0.08%     334.000us         6.17%      26.214ms     252.058us       0.000us         0.00%      63.940ms     614.808us           104  
                                      aten::convolution         0.23%     978.000us         6.10%      25.880ms     248.846us       0.000us         0.00%      63.940ms     614.808us           104  
                                     aten::_convolution         0.28%       1.184ms         5.86%      24.902ms     239.442us       0.000us         0.00%      63.940ms     614.808us           104  
                                aten::cudnn_convolution         2.07%       8.792ms         4.96%      21.054ms     202.442us      57.401ms        13.31%      57.401ms     551.933us           104  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      50.490ms        11.70%      50.490ms      64.401us           784  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      48.987ms        11.36%      48.987ms      95.678us           512  
                                             aten::mul_         1.55%       6.587ms         6.68%      28.375ms      55.420us      33.721ms         7.82%      33.721ms      65.861us           512  
                                         aten::addcdiv_         0.65%       2.761ms         4.24%      17.995ms      70.293us      32.195ms         7.46%      32.195ms     125.762us           256  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      32.195ms         7.46%      32.195ms     125.762us           256  
                                   volta_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      29.353ms         6.80%      29.353ms     305.760us            96  
autograd::engine::evaluate_function: torch::autograd...         0.38%       1.607ms         5.46%      23.185ms      90.566us       0.000us         0.00%      24.507ms      95.730us           256  
                        torch::autograd::AccumulateGrad         0.31%       1.322ms         5.08%      21.578ms      84.289us       0.000us         0.00%      24.507ms      95.730us           256  
                                         aten::addcmul_         0.64%       2.734ms         5.25%      22.306ms      87.133us      24.402ms         5.66%      24.402ms      95.320us           256  
