-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.96%       9.661ms        17.44%     175.373ms     308.755us       0.000us         0.00%     401.858ms     707.496us           568  
                                   ConvolutionBackward0         0.35%       3.510ms        15.63%     157.089ms     276.565us       0.000us         0.00%     383.778ms     675.665us           568  
                             aten::convolution_backward        10.67%     107.279ms        15.28%     153.579ms     270.386us     376.819ms        43.26%     383.778ms     675.665us           568  
                                      aten::convolution         0.58%       5.799ms        11.91%     119.765ms     182.569us       0.000us         0.00%     205.198ms     312.802us           656  
                                     aten::_convolution         0.56%       5.627ms        11.34%     113.966ms     173.729us       0.000us         0.00%     205.198ms     312.802us           656  
                                           aten::conv2d         0.23%       2.286ms        12.00%     120.623ms     186.147us       0.000us         0.00%     196.176ms     302.741us           648  
                                aten::cudnn_convolution         8.37%      84.162ms        10.08%     101.309ms     156.341us     187.624ms        21.54%     187.624ms     289.543us           648  
volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148...         0.00%       0.000us         0.00%       0.000us       0.000us     175.203ms        20.11%     175.203ms     515.303us           340  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      72.737ms         8.35%      72.737ms      18.405us          3952  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      69.505ms         7.98%      69.505ms     313.086us           222  
                                              aten::add         3.47%      34.842ms         5.47%      54.981ms      24.199us      57.978ms         6.66%      57.978ms      25.518us          2272  
                                   volta_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      55.720ms         6.40%      55.720ms     290.208us           192  
                                             aten::add_         2.44%      24.513ms         4.39%      44.096ms      18.072us      47.534ms         5.46%      47.534ms      19.481us          2440  
                volta_scudnn_128x64_relu_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      36.754ms         4.22%      36.754ms     194.466us           189  
                                              aten::mul         2.97%      29.892ms         4.66%      46.861ms      22.971us      36.670ms         4.21%      36.670ms      17.975us          2040  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      35.028ms         4.02%      35.028ms      38.920us           900  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      34.121ms         3.92%      34.121ms      36.069us           946  
                                Optimizer.step#SGD.step         2.08%      20.898ms         6.70%      67.345ms       8.418ms       0.000us         0.00%      27.971ms       3.496ms             8  
