-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.47%      10.046ms         9.03%     192.796ms     339.430us       0.000us         0.00%     948.393ms       1.670ms           568  
                                   ConvolutionBackward0         0.18%       3.790ms         8.15%     174.043ms     306.414us       0.000us         0.00%     903.493ms       1.591ms           568  
                             aten::convolution_backward         5.59%     119.300ms         7.98%     170.253ms     299.741us     888.881ms        43.99%     903.493ms       1.591ms           568  
                                      aten::convolution         0.28%       6.083ms         6.70%     143.119ms     218.169us       0.000us         0.00%     505.227ms     770.163us           656  
                                     aten::_convolution         0.27%       5.804ms         6.42%     137.036ms     208.896us       0.000us         0.00%     505.227ms     770.163us           656  
                                           aten::conv2d         0.11%       2.338ms         6.73%     143.678ms     221.725us       0.000us         0.00%     482.940ms     745.278us           648  
                                aten::cudnn_convolution         4.65%      99.254ms         5.79%     123.670ms     190.849us     461.457ms        22.84%     461.457ms     712.125us           648  
volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148...         0.00%       0.000us         0.00%       0.000us       0.000us     421.454ms        20.86%     421.454ms       1.313ms           321  
void wgrad_alg0_engine<float, 128, 6, 8, 3, 3, 5, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     161.462ms         7.99%     161.462ms     669.967us           241  
                                   volta_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     140.738ms         6.97%     140.738ms     683.194us           206  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     135.535ms         6.71%     135.535ms      34.020us          3984  
                                              aten::add         1.66%      35.426ms         2.55%      54.397ms      23.775us     130.114ms         6.44%     130.114ms      56.868us          2288  
                volta_scudnn_128x64_relu_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     106.158ms         5.25%     106.158ms     421.262us           252  
                                              aten::mul         1.45%      31.058ms         2.29%      48.900ms      22.723us      90.280ms         4.47%      90.280ms      41.952us          2152  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      88.110ms         4.36%      88.110ms      93.337us           944  
                                             aten::add_         1.13%      24.032ms         2.03%      43.395ms      17.785us      87.466ms         4.33%      87.466ms      35.847us          2440  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      85.862ms         4.25%      85.862ms      79.502us          1080  
              volta_scudnn_128x128_stridedB_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      83.896ms         4.15%      83.896ms     436.958us           192  
