-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.57%       9.452ms         9.23%     153.518ms     252.497us       0.000us         0.00%     681.090ms       1.120ms           608  
                                   ConvolutionBackward0         0.22%       3.731ms         8.34%     138.686ms     228.102us       0.000us         0.00%     659.218ms       1.084ms           608  
                             aten::convolution_backward         5.49%      91.207ms         8.12%     134.955ms     221.965us     658.554ms        47.80%     659.218ms       1.084ms           608  
                                           aten::conv2d         0.13%       2.227ms         5.39%      89.661ms     147.469us       0.000us         0.00%     317.209ms     521.725us           608  
                                      aten::convolution         0.36%       5.995ms         5.26%      87.434ms     143.806us       0.000us         0.00%     317.209ms     521.725us           608  
                                     aten::_convolution         0.25%       4.180ms         4.90%      81.439ms     133.946us       0.000us         0.00%     317.209ms     521.725us           608  
                                aten::cudnn_convolution         3.37%      56.082ms         4.61%      76.572ms     125.941us     316.351ms        22.96%     316.351ms     520.314us           608  
volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148...         0.00%       0.000us         0.00%       0.000us       0.000us     279.044ms        20.25%     279.044ms     830.488us           336  
                                   volta_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     121.138ms         8.79%     121.138ms     378.556us           320  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     102.278ms         7.42%     102.278ms      10.123us         10104  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.47%       7.736ms         3.04%      50.590ms      86.627us       0.000us         0.00%      96.303ms     164.902us           584  
                                CudnnBatchNormBackward0         0.18%       2.914ms         2.58%      42.854ms      73.380us       0.000us         0.00%      96.303ms     164.902us           584  
                        aten::cudnn_batch_norm_backward         1.24%      20.632ms         2.40%      39.940ms      68.390us      96.303ms         6.99%      96.303ms     164.902us           584  
                                              aten::add         2.34%      38.851ms         5.08%      84.439ms      28.662us      61.579ms         4.47%      61.579ms      20.903us          2946  
                                       aten::batch_norm         0.08%       1.324ms         3.54%      58.877ms     100.817us       0.000us         0.00%      59.861ms     102.502us           584  
                           aten::_batch_norm_impl_index         0.12%       1.996ms         3.46%      57.553ms      98.550us       0.000us         0.00%      59.861ms     102.502us           584  
                                 aten::cudnn_batch_norm         1.62%      26.949ms         3.34%      55.557ms      95.132us      59.861ms         4.34%      59.861ms     102.502us           584  
autograd::engine::evaluate_function: LeakyReluBackwa...         0.27%       4.426ms         1.26%      20.931ms      35.841us       0.000us         0.00%      54.342ms      93.051us           584  
                                     LeakyReluBackward1         0.18%       2.915ms         0.99%      16.505ms      28.262us       0.000us         0.00%      54.342ms      93.051us           584  
