-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: AddmmBackward0         0.52%      12.337ms        10.02%     237.187ms     400.654us       0.000us         0.00%     910.008ms       1.537ms           592  
                                         AddmmBackward0         0.34%       8.065ms         7.27%     172.139ms     290.775us       0.000us         0.00%     878.362ms       1.484ms           592  
                                               aten::mm         1.77%      41.919ms         6.43%     152.289ms     128.622us     878.362ms        39.11%     878.362ms     741.860us          1184  
                                           aten::linear         0.23%       5.479ms         2.80%      66.292ms     111.980us       0.000us         0.00%     503.414ms     850.361us           592  
                                            aten::addmm         1.49%      35.207ms         2.11%      49.880ms      84.257us     503.414ms        22.41%     503.414ms     850.361us           592  
                                 volta_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     480.013ms        21.37%     480.013ms     821.940us           584  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     303.318ms        13.50%     303.318ms     621.553us           488  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     265.386ms        11.82%     265.386ms     552.888us           480  
                                 volta_sgemm_128x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     195.516ms         8.70%     195.516ms       1.880ms           104  
                               Optimizer.step#Adam.step         4.66%     110.242ms        15.68%     371.406ms      46.426ms       0.000us         0.00%     153.264ms      19.158ms             8  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     125.278ms         5.58%     125.278ms      21.841us          5736  
                                 volta_sgemm_128x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us     114.063ms         5.08%     114.063ms       1.188ms            96  
                                              aten::add         1.80%      42.526ms         5.66%     134.061ms      45.291us      96.899ms         4.31%      96.899ms      32.736us          2960  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      92.223ms         4.11%      92.223ms      66.635us          1384  
                                            aten::copy_         0.66%      15.619ms         2.81%      66.446ms      25.714us      86.531ms         3.85%      86.531ms      33.487us          2584  
                                            aten::clone         0.24%       5.773ms         3.35%      79.419ms      81.372us       0.000us         0.00%      86.095ms      88.212us           976  
                                              aten::div         1.69%      40.048ms         2.99%      70.705ms      24.148us      71.340ms         3.18%      71.340ms      24.365us          2928  
                                              aten::mul         0.91%      21.594ms         1.90%      45.069ms      31.298us      66.246ms         2.95%      66.246ms      46.004us          1440  
      autograd::engine::evaluate_function: DivBackward0         0.18%       4.240ms         2.25%      53.285ms     185.017us       0.000us         0.00%      63.836ms     221.653us           288  
