-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::conv2d         0.71%     608.000us        28.78%      24.576ms     113.778us       0.000us         0.00%      24.363ms     112.792us           216  
                                      aten::convolution         1.01%     865.000us        28.07%      23.968ms     110.963us       0.000us         0.00%      24.363ms     112.792us           216  
                                     aten::_convolution         1.52%       1.300ms        27.06%      23.103ms     106.958us       0.000us         0.00%      24.363ms     112.792us           216  
                                aten::cudnn_convolution        18.47%      15.767ms        24.13%      20.603ms      95.384us      23.496ms        60.67%      23.496ms     108.778us           216  
                                   volta_sgemm_64x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us       5.507ms        14.22%       5.507ms      76.486us            72  
volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148...         0.00%       0.000us         0.00%       0.000us       0.000us       3.452ms         8.91%       3.452ms      86.300us            40  
                                            aten::copy_         1.57%       1.337ms        32.36%      27.630ms     172.688us       3.373ms         8.71%       3.373ms      21.081us           160  
void cudnn::winograd_nonfused::winogradForwardFilter...         0.00%       0.000us         0.00%       0.000us       0.000us       3.157ms         8.15%       3.157ms      39.462us            80  
                                           aten::linear         0.20%     174.000us         4.06%       3.463ms      86.575us       0.000us         0.00%       3.039ms      75.975us            40  
                                            aten::addmm         2.16%       1.847ms         3.53%       3.016ms      75.400us       3.039ms         7.85%       3.039ms      75.975us            40  
                                               aten::to         0.47%     400.000us        34.06%      29.077ms     201.924us       0.000us         0.00%       2.989ms      20.757us           144  
                                         aten::_to_copy         0.88%     754.000us        33.59%      28.677ms     210.860us       0.000us         0.00%       2.989ms      21.978us           136  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       2.540ms         6.56%       2.540ms     158.750us            16  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.278ms         5.88%       2.278ms      71.188us            32  
                                       aten::batch_norm         0.41%     351.000us        10.91%       9.316ms      55.452us       0.000us         0.00%       2.112ms      12.571us           168  
                           aten::_batch_norm_impl_index         0.48%     413.000us        10.50%       8.965ms      53.363us       0.000us         0.00%       2.112ms      12.571us           168  
                                 aten::cudnn_batch_norm         4.72%       4.032ms        10.02%       8.552ms      50.905us       2.112ms         5.45%       2.112ms      12.571us           168  
void cudnn::bn_fw_inf_1C11_kernel_NCHW<float, float,...         0.00%       0.000us         0.00%       0.000us       0.000us       2.112ms         5.45%       2.112ms      12.571us           168  
                   volta_scudnn_128x64_relu_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us       1.767ms         4.56%       1.767ms     110.438us            16  
