-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.78%       6.377ms        21.33%     175.420ms     391.562us       0.000us         0.00%     469.109ms       1.047ms           448  
                                   ConvolutionBackward0         0.31%       2.557ms        20.55%     169.043ms     377.328us       0.000us         0.00%     469.109ms       1.047ms           448  
                             aten::convolution_backward        14.98%     123.187ms        20.24%     166.486ms     371.621us     463.203ms        55.38%     469.109ms       1.047ms           448  
                                           aten::conv2d         0.20%       1.625ms        16.42%     135.010ms     255.701us       0.000us         0.00%     234.190ms     443.542us           528  
                                      aten::convolution         0.48%       3.956ms        16.22%     133.385ms     252.623us       0.000us         0.00%     234.190ms     443.542us           528  
                                     aten::_convolution         0.64%       5.248ms        15.74%     129.429ms     245.131us       0.000us         0.00%     234.190ms     443.542us           528  
                                aten::cudnn_convolution        12.03%      98.973ms        13.69%     112.568ms     213.197us     219.789ms        26.28%     219.789ms     416.267us           528  
             volta_scudnn_128x64_relu_xregs_large_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     148.882ms        17.80%     148.882ms     443.101us           336  
               volta_scudnn_128x64_stridedB_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     114.862ms        13.73%     114.862ms     398.826us           288  
turing_scudnn_128x64_stridedB_splitK_xregs_large_nn_...         0.00%       0.000us         0.00%       0.000us       0.000us     108.265ms        12.94%     108.265ms     902.208us           120  
turing_scudnn_128x32_stridedB_splitK_xregs_large_nn_...         0.00%       0.000us         0.00%       0.000us       0.000us      60.640ms         7.25%      60.640ms       1.083ms            56  
void cudnn::detail::dgrad_alg1_engine<float, 128, 5,...         0.00%       0.000us         0.00%       0.000us       0.000us      49.336ms         5.90%      49.336ms       2.056ms            24  
                               Optimizer.step#Adam.step         4.79%      39.392ms        16.54%     136.061ms      17.008ms       0.000us         0.00%      48.851ms       6.106ms             8  
void cudnn::cnn::wgrad_alg1_engine<float, float, 128...         0.00%       0.000us         0.00%       0.000us       0.000us      37.789ms         4.52%      37.789ms       1.181ms            32  
void cudnn::cnn::wgrad_alg1_engine<float, float, 128...         0.00%       0.000us         0.00%       0.000us       0.000us      36.748ms         4.39%      36.748ms     255.194us           144  
                                             aten::add_         3.47%      28.501ms         6.38%      52.509ms      15.124us      33.813ms         4.04%      33.813ms       9.739us          3472  
              volta_scudnn_128x128_stridedB_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      30.772ms         3.68%      30.772ms     349.682us            88  
