-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.17%     529.000us         4.76%      14.902ms     372.550us       0.000us         0.00%     101.144ms       2.529ms            40  
                                   ConvolutionBackward0         0.09%     281.000us         4.59%      14.373ms     359.325us       0.000us         0.00%     101.144ms       2.529ms            40  
                             aten::convolution_backward         2.21%       6.928ms         4.50%      14.092ms     352.300us      97.279ms        30.83%     101.144ms       2.529ms            40  
                               Optimizer.step#Adam.step         2.33%       7.297ms        29.61%      92.770ms      11.596ms       0.000us         0.00%      70.026ms       8.753ms             8  
                                           aten::conv2d         0.04%     131.000us         6.08%      19.064ms     476.600us       0.000us         0.00%      58.639ms       1.466ms            40  
                                      aten::convolution         0.11%     343.000us         6.04%      18.933ms     473.325us       0.000us         0.00%      58.639ms       1.466ms            40  
                                     aten::_convolution         0.14%     439.000us         5.93%      18.590ms     464.750us       0.000us         0.00%      58.639ms       1.466ms            40  
                                aten::cudnn_convolution         1.26%       3.933ms         5.41%      16.946ms     423.650us      51.404ms        16.29%      51.404ms       1.285ms            40  
                                   volta_sgemm_64x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us      38.866ms        12.32%      38.866ms     694.036us            56  
                                             aten::add_         1.46%       4.572ms        11.12%      34.826ms      63.091us      35.020ms        11.10%      35.020ms      63.442us           552  
                                   volta_sgemm_64x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      21.831ms         6.92%      21.831ms     682.219us            32  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.597ms         6.84%      21.597ms      53.992us           400  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.751ms         6.58%      20.751ms      81.059us           256  
turing_scudnn_128x64_stridedB_splitK_xregs_large_nn_...         0.00%       0.000us         0.00%       0.000us       0.000us      17.832ms         5.65%      17.832ms       2.229ms             8  
    autograd::engine::evaluate_function: AddmmBackward0         0.17%     527.000us         1.65%       5.168ms     215.333us       0.000us         0.00%      16.344ms     681.000us            24  
                                         AddmmBackward0         0.10%     323.000us         1.16%       3.622ms     150.917us       0.000us         0.00%      16.130ms     672.083us            24  
                                               aten::mm         0.61%       1.896ms         0.90%       2.833ms      59.021us      16.130ms         5.11%      16.130ms     336.042us            48  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.09%     280.000us         0.92%       2.874ms     119.750us       0.000us         0.00%      15.903ms     662.625us            24  
                          MaxPool2DWithIndicesBackward0         0.04%     119.000us         0.83%       2.594ms     108.083us       0.000us         0.00%      15.903ms     662.625us            24  
